Time_mins,wt,wt_std,mko,mko_std,tko,tko_std
0,3.187875681,1.129393536,2.426047741,3.430949618,3.52783907,1.662378711
30,244.9573333,167.3667238,38.08488889,32.35306309,44.41870672,46.34402654
60,878.2369494,85.181512,190.9565556,58.3703238,145.61475,14.33080536
120,1002.064333,45.10313564,307.61975,84.1330125,166.4215,21.53386155
180,1121.934804,87.83520853,281.8833333,7.41707873,236.502,75.29838691
240,1239.7015,250.7345455,291.3962222,69.0025594,238.6211667,52.05475895
