Time_mins,wt,mko,tko
0,7.163451662,1.3991985,1.090686124
30,24.03773313,10.65804741,8.034974308
60,100,27.617238,33.7106109
90,34.28358295,1.811719605,6.891281012
120,19.78330809,1.429417252,5.064803411
