Time_mins,wt,mko,tko
0,27.94910536,31.75886609,33.68125997
30,53.64881713,36.82165795,47.44434816
45,61.51038353,73.0465573,50.05921352
60,85.12316114,81.45895873,58.3286391
75,82.03006127,78.07321434,59.99615393
90,63.19875323,44.84670778,34.69935668
