Time_mins,LPS,LPS_std,CpG,CpG_std,PIC,PIC_std
0,1,1,1,1,1,1
60,154.2859762,1.092926629,104.7614858,1.219801508,19.62305103,1.892852263
120,104.920536,1.17852817,83.4891828,1.205195011,26.06963758,1.446469456
180,96.50879036,1.363778878,112.616378,1.257071262,23.44760506,1.35716684
240,86.13711778,1.112262891,146.3972158,1.159625273,24.34354626,1.486417649
