Time_mins,wt,mko,tko
0,16.33626599,15.27544778,13.95080972
30,100,91.42412591,78.10569133
45,67.07958437,52.07454108,28.63748685
60,58.14164861,56.23832018,27.25268526
75,44.07624089,41.26203596,31.3678178
90,33.44692644,12.21957575,17.13125639
