Time_mins,WT,TNF KO
0,	0.116560132,	0.12795089
0.5,	0.973367532,	0.984794778
1,	0.904011457,	0.844598674
2,	0.72708551,	0.664064875
4,	0.662183254,	0.663681343
8,	0.533422865,	0.490079673
