Time_mins,LPS,CpG,PIC
0,11.08911111,15.08666667,8.096
60,1154.788778,557.3023333,57.08666667
120,1471.876,766.0453333,383.9146667
180,1636.804,972.344,372.376
240,1414.269333,2486.881222,393.368
