Time_mins,wt_fold,wt_std,mko_fold,mko_std,tko_fold,tko_std
0,1,0,0.698885587,0.210338388,1.049841216,0.064779598
30,42.98641921,10.9529601,0.955958431,0.543764509,31.96936546,4.800809582
60,112.9806207,4.253646771,41.4735662,3.439140884,82.82680091,2.344108105
120,53.81349507,4.242538371,27.305077,1.077793003,46.42008079,2.095919727
180,45.74435613,3.409436585,22.18862059,2.689475781,35.55396873,4.293350268
240,49.50608147,9.071377669,15.26496063,3.618727214,26.45534354,0.719567017
