Time_mins,wt,myd_ko,trif_ko
0,15.74342454,17.42990643,10.80355227
30,100,97.25582549,76.482905
45,59.9149983,60.29930242,25.33168475
60,43.00147364,45.33053465,38.36136543
75,37.91135835,38.33366317,40.18884202
