26014,5951.7,2414.6,1235.8,716.9,449.62,297.54,205.1,146.48,108.41,83.57,67.69,58.138,53.244,51.907,53.383,57.156,62.863,70.242,79.103,89.304
26012,5950.9,2414.6,1236,716.89,449.01,295.89,202.01,141.52,101.16,73.611,54.598,41.494,32.626,26.894,23.553,22.089,22.138,23.438,25.798,29.078
26011,5949.7,2413.8,1235.6,716.69,448.85,295.63,201.5,140.61,99.703,71.465,51.612,37.521,27.518,20.504,15.734,12.694,11.019,10.447,10.789,11.903
26009,5948.6,2413.1,1235.1,716.43,448.73,295.58,201.45,140.49,99.447,71.006,50.882,36.451,26.041,18.55,13.236,9.5833,7.2275,5.9075,5.4323,5.6608
26008,5947.9,2412.6,1234.8,716.36,448.8,295.75,201.68,140.75,99.7,71.211,51.003,36.451,25.883,18.197,12.651,8.7285,6.0663,4.4028,3.5471,3.358
26008,5947.7,2412.6,1235,716.65,449.21,296.26,202.27,141.39,100.37,71.893,51.672,37.085,26.459,18.694,13.046,8.9987,6.1898,4.3573,3.3102,2.9074
26008,5948.1,2413.1,1235.6,717.39,450.05,297.19,203.27,142.46,101.48,73.037,52.833,38.248,27.609,19.817,14.127,10.024,7.1447,5.2271,4.0805,3.5637
26009,5949,2414.2,1236.8,718.64,451.39,298.61,204.76,144,103.08,74.669,54.493,39.926,29.296,21.503,15.801,11.677,8.7657,6.8067,5.6087,5.0306
26010,5950.5,2415.8,1238.5,720.45,453.28,300.56,206.77,146.07,105.19,76.82,56.676,42.135,31.522,23.739,18.042,13.914,10.993,9.016,7.7934,7.1835
26012,5952.7,2418,1240.8,722.84,455.73,303.07,209.34,148.68,107.85,79.515,59.404,44.89,34.3,26.534,20.848,16.727,13.806,11.826,10.594,9.9693
26015,5955.5,2420.9,1243.7,725.83,458.77,306.17,212.48,151.87,111.07,82.776,62.696,48.21,37.644,29.897,24.227,20.117,17.205,15.228,13.996,13.367
26018,5958.9,2424.4,1247.3,729.42,462.42,309.86,216.22,155.64,114.88,86.619,66.569,52.11,41.567,33.842,28.189,24.094,21.192,19.224,17.996,17.369
26022,5963,2428.5,1251.5,733.64,466.68,314.16,220.56,160.02,119.29,91.058,71.036,56.602,46.083,38.378,32.743,28.663,25.775,23.817,22.598,21.977
26027,5967.7,2433.3,1256.3,738.49,471.57,319.08,225.51,165.01,124.31,96.103,76.108,61.698,51.2,43.515,37.898,33.835,30.961,29.014,27.805,27.192
26032,5973.1,2438.7,1261.7,743.98,477.08,324.63,231.09,170.61,129.94,101.76,81.793,67.405,56.928,49.262,43.663,39.615,36.755,34.821,33.623,33.019
26038,5979.1,2444.8,1267.8,750.1,483.23,330.81,237.3,176.85,136.2,108.05,88.098,73.731,63.273,55.625,50.043,46.01,43.165,41.244,40.057,39.463
26045,5985.8,2451.5,1274.5,756.86,490.02,337.63,244.14,183.71,143.09,114.96,95.029,80.681,70.242,62.611,57.044,53.027,50.195,48.286,47.111,46.527
26052,5993.1,2458.8,1281.9,764.27,497.46,345.09,251.62,191.22,150.61,122.5,102.59,88.26,77.838,70.224,64.672,60.669,57.85,55.954,54.79,54.216
26060,6001.1,2466.8,1290,772.32,505.54,353.19,259.74,199.36,158.77,130.68,110.79,96.473,86.067,78.467,72.93,68.94,66.134,64.25,63.097,62.534
26069,6009.7,2475.5,1298.6,781.03,514.26,361.93,268.51,208.14,167.57,139.5,119.62,105.32,94.931,87.346,81.822,77.845,75.051,73.178,72.036,71.483
26078,6019,2484.8,1308,790.38,523.64,371.32,277.92,217.57,177.02,148.95,129.09,114.81,104.43,96.862,91.351,87.386,84.603,82.741,81.609,81.066
