0,5.7143,1.0155,3.89,3.8095,0.67698,2.5933
0.1,5.7433,1.0205,3.91,3.8099,0.67698,2.5937
0.2,5.7729,1.0256,3.9306,3.8106,0.67697,2.5946
0.3,5.8031,1.0306,3.952,3.8118,0.67696,2.5959
0.4,5.8337,1.0355,3.9739,3.8132,0.6769,2.5975
0.5,5.8649,1.0404,3.9964,3.8151,0.67685,2.5996
0.6,5.8966,1.0453,4.0196,3.8173,0.6768,2.6022
0.7,5.9289,1.0501,4.0434,3.82,0.67675,2.6052
0.8,5.9617,1.055,4.0679,3.823,0.67669,2.6086
0.9,5.995,1.0599,4.093,3.8264,0.67664,2.6125
1,6.0289,1.0648,4.1187,3.8302,0.67659,2.6168
1.1,6.0634,1.0697,4.1451,3.8344,0.67653,2.6216
1.2,6.0984,1.0745,4.1722,3.8389,0.67648,2.6268
1.3,6.1339,1.0794,4.1998,3.8439,0.67643,2.6324
1.4,6.17,1.0841,4.2282,3.8492,0.67633,2.6384
1.5,6.2066,1.0889,4.2571,3.8548,0.67624,2.6448
1.6,6.2437,1.0936,4.2867,3.8608,0.67614,2.6516
1.7,6.2814,1.0983,4.317,3.8672,0.67605,2.6589
1.8,6.3197,1.103,4.3479,3.8739,0.67595,2.6666
1.9,6.3584,1.1077,4.3794,3.881,0.67586,2.6747
2,6.3977,1.1124,4.4116,3.8885,0.67576,2.6832
2.1,6.4376,1.1171,4.4444,3.8964,0.67567,2.6922
2.2,6.478,1.1219,4.4778,3.9046,0.67557,2.7016
2.3,6.5189,1.1266,4.5119,3.9133,0.67548,2.7113
2.4,6.5604,1.1311,4.5466,3.9221,0.67534,2.7214
2.5,6.6024,1.1357,4.5819,3.9313,0.67521,2.7319
2.6,6.6449,1.1402,4.6179,3.9409,0.67507,2.7428
2.7,6.688,1.1448,4.6545,3.9508,0.67494,2.7541
2.8,6.7315,1.1493,4.6917,3.9611,0.6748,2.7658
2.9,6.7757,1.1539,4.7296,3.9717,0.67467,2.7779
3,6.8203,1.1584,4.7681,3.9827,0.67453,2.7904
3.1,6.8655,1.163,4.8072,3.994,0.6744,2.8033
3.2,6.9113,1.1675,4.8469,4.0057,0.67426,2.8165
3.3,6.9575,1.1721,4.8873,4.0177,0.67413,2.8301
3.4,7.0043,1.1766,4.9283,4.03,0.67398,2.8441
3.5,7.0516,1.1811,4.9699,4.0426,0.67383,2.8584
3.6,7.0994,1.1856,5.0121,4.0555,0.67368,2.8731
3.7,7.1477,1.19,5.055,4.0687,0.67352,2.8882
3.8,7.1966,1.1945,5.0985,4.0823,0.67337,2.9036
3.9,7.2459,1.1989,5.1425,4.0962,0.6732,2.9195
4,7.2958,1.2033,5.187,4.1104,0.67304,2.9357
4.1,7.3463,1.2077,5.2322,4.125,0.67287,2.9522
4.2,7.3972,1.2121,5.2779,4.1399,0.67269,2.9692
4.3,7.4487,1.2164,5.3243,4.1551,0.67252,2.9864
4.4,7.5005,1.2208,5.3713,4.1705,0.67234,3.004
4.5,7.5528,1.2251,5.4188,4.1863,0.67215,3.0219
4.6,7.6056,1.2294,5.467,4.2024,0.67197,3.0402
4.7,7.6589,1.2337,5.5158,4.2188,0.67178,3.0589
4.8,7.7127,1.238,5.5653,4.2355,0.67158,3.0778
4.9,7.767,1.2423,5.6153,4.2525,0.67138,3.0972
5,7.8219,1.2466,5.6659,4.2698,0.67118,3.1168
5.1,7.8772,1.2508,5.7172,4.2873,0.67098,3.1368
5.2,7.9331,1.255,5.769,4.3052,0.67077,3.1571
5.3,7.9894,1.2593,5.8215,4.3234,0.67056,3.1777
5.4,8.0463,1.2634,5.8746,4.3418,0.67034,3.1987
5.5,8.1037,1.2676,5.9283,4.3605,0.67013,3.22
5.6,8.1616,1.2718,5.9826,4.3795,0.6699,3.2416
5.7,8.22,1.2759,6.0375,4.3988,0.66968,3.2635
5.8,8.2789,1.2801,6.093,4.4184,0.66945,3.2857
5.9,8.3384,1.2842,6.1492,4.4382,0.66922,3.3083
6,8.3983,1.2883,6.2059,4.4583,0.66898,3.3311
6.1,8.4588,1.2924,6.2633,4.4787,0.66874,3.3543
6.2,8.5197,1.2965,6.3212,4.4994,0.6685,3.3778
6.3,8.5812,1.3005,6.3798,4.5203,0.66826,3.4016
6.4,8.6432,1.3046,6.439,4.5415,0.66801,3.4256
6.5,8.7057,1.3086,6.4985,4.5629,0.66775,3.45
6.6,8.7687,1.3126,6.5586,4.5846,0.6675,3.4747
6.7,8.8322,1.3166,6.6192,4.6066,0.66724,3.4997
6.8,8.8962,1.3206,6.6804,4.6288,0.66697,3.525
6.9,8.9608,1.3246,6.7422,4.6513,0.66671,3.5506
7,9.0258,1.3285,6.8046,4.674,0.66644,3.5765
7.1,9.0914,1.3325,6.8676,4.697,0.66616,3.6026
7.2,9.1575,1.3364,6.9311,4.7202,0.66588,3.6291
7.3,9.224,1.3403,6.9953,4.7437,0.6656,3.6558
7.4,9.2909,1.3442,7.06,4.7675,0.66532,3.6828
7.5,9.3581,1.348,7.1253,4.7916,0.66503,3.7101
7.6,9.4258,1.3519,7.1912,4.8158,0.66475,3.7377
7.7,9.4939,1.3558,7.2577,4.8403,0.66447,3.7656
7.8,9.5626,1.3596,7.3248,4.8651,0.66418,3.7937
7.9,9.6317,1.3634,7.3925,4.8901,0.6639,3.8221
8,9.7013,1.3672,7.4607,4.9153,0.66361,3.8508
8.1,9.7714,1.371,7.5295,4.9408,0.66331,3.8797
8.2,9.842,1.3747,7.599,4.9665,0.66302,3.9089
8.3,9.9131,1.3785,7.669,4.9924,0.66272,3.9383
8.4,9.9847,1.3822,7.7395,5.0186,0.66242,3.968
8.5,10.057,1.386,7.8107,5.045,0.66211,3.998
8.6,10.129,1.3897,7.8825,5.0716,0.66181,4.0282
8.7,10.202,1.3934,7.9548,5.0984,0.6615,4.0587
8.8,10.276,1.397,8.0277,5.1255,0.66118,4.0894
8.9,10.35,1.4007,8.1012,5.1528,0.66087,4.1204
9,10.424,1.4043,8.1752,5.1803,0.66055,4.1516
9.1,10.499,1.408,8.2495,5.208,0.66023,4.1831
9.2,10.575,1.4116,8.3244,5.2359,0.6599,4.2149
9.3,10.651,1.4152,8.3998,5.2641,0.65958,4.2469
9.4,10.727,1.4188,8.4758,5.2924,0.65925,4.2792
9.5,10.804,1.4223,8.5523,5.321,0.65892,4.3117
9.6,10.881,1.4259,8.6294,5.3497,0.65858,4.3445
9.7,10.959,1.4294,8.707,5.3787,0.65824,4.3774
9.8,11.038,1.4329,8.7852,5.4079,0.6579,4.4107
9.9,11.116,1.4365,8.864,5.4372,0.65756,4.4441
10,11.196,1.4399,8.9433,5.4668,0.65721,4.4778
10.1,11.276,1.4434,9.0231,5.4967,0.65686,4.5117
10.2,11.356,1.4469,9.1036,5.5267,0.65651,4.5459
10.3,11.437,1.4503,9.1846,5.557,0.65615,4.5803
10.4,11.518,1.4538,9.2661,5.5875,0.65579,4.6149
10.5,11.599,1.4572,9.3482,5.6181,0.65543,4.6497
10.6,11.681,1.4606,9.4308,5.649,0.65507,4.6848
10.7,11.763,1.464,9.5141,5.68,0.6547,4.72
10.8,11.846,1.4673,9.5978,5.7113,0.65433,4.7555
