0.94382,0.96131,0.95545,0.95307,0.95059,0.9497,0.94997,0.95042,0.94914,0.94822
0.77632,0.76989,0.75957,0.75463,0.75203,0.75127,0.75083,0.74917,0.75019,0.74849
0.63105,0.61896,0.61529,0.61368,0.61287,0.6128,0.6133,0.61376,0.61407,0.61428
0.5179,0.51457,0.51778,0.52154,0.52344,0.52461,0.5257,0.52627,0.52639,0.52756
0.43254,0.44068,0.45012,0.45625,0.46002,0.46244,0.46286,0.46473,0.46533,0.46569
0.36676,0.38258,0.39561,0.4062,0.41191,0.41593,0.41631,0.41738,0.41824,0.41866
0.31445,0.33439,0.3544,0.3653,0.37,0.37455,0.37765,0.3784,0.3795,0.38031
0.27107,0.29533,0.3185,0.33108,0.33647,0.34285,0.34357,0.34532,0.34653,0.3474
0.23631,0.26192,0.28751,0.30166,0.30743,0.312,0.31706,0.3166,0.31836,0.31974
0.20735,0.23599,0.26087,0.27556,0.28393,0.28622,0.28919,0.29122,0.29252,0.29358
0.078469,0.097566,0.12629,0.14253,0.15056,0.15775,0.16136,0.16157,0.16382,0.16607
0.047691,0.057502,0.085204,0.10125,0.11096,0.11572,0.11894,0.12165,0.12283,0.12382
0.036997,0.044736,0.070934,0.086762,0.095081,0.099565,0.10331,0.10523,0.10695,0.10821
0.031303,0.038026,0.063867,0.078795,0.087422,0.092366,0.095279,0.098024,0.10009,0.10151
0.028408,0.034799,0.06059,0.076285,0.083108,0.088102,0.09227,0.093916,0.095971,0.09695
0.026386,0.032859,0.059055,0.072984,0.082174,0.086325,0.089897,0.092072,0.093698,0.094875
0.025216,0.031848,0.057512,0.072637,0.080834,0.085932,0.08843,0.090863,0.092416,0.093467
0.024367,0.031754,0.056775,0.072564,0.079314,0.084893,0.088218,0.091581,0.091276,0.093155
0.023528,0.031212,0.056342,0.071262,0.079518,0.084114,0.087792,0.091537,0.091575,0.09287
