36.024,31.657,27.975,24.847,22.117,19.758,17.694,15.933,14.391,12.979
6.9884,5.9831,5.1396,4.4324,3.8306,3.3294,2.8957,2.525,2.2063,1.9322
2.1451,1.7866,1.4937,1.2551,1.0597,0.8984,0.76599,0.6578,0.5688,0.49578
0.82693,0.68591,0.5743,0.49043,0.42201,0.37453,0.33876,0.31322,0.29598,0.28582
0.42213,0.37467,0.34149,0.31865,0.30744,0.30385,0.30872,0.31435,0.32643,0.34082
0.32808,0.32116,0.32476,0.33264,0.34657,0.36378,0.38466,0.40616,0.432,0.45248
0.34461,0.36022,0.38124,0.40545,0.43178,0.45974,0.49038,0.51692,0.54528,0.5735
0.40712,0.43494,0.46568,0.49689,0.53099,0.56221,0.59266,0.62504,0.6566,0.68709
0.48176,0.51752,0.55385,0.59019,0.62549,0.65862,0.69259,0.72497,0.75643,0.78715
0.56177,0.60073,0.63791,0.67576,0.71541,0.74827,0.78388,0.81544,0.84676,0.87688
