71.545,16.114,9.683,6.0002,3.8235,3.3678,3.6342,3.9008,4.0932,4.2787,4.4061,4.4932,4.5642,4.6013,4.6509,4.6826,4.6787,4.7145,4.7149,4.7348,4.7123,4.7518,4.7376,4.7265,4.7337,4.7373,4.7305,4.7454,4.7358,4.7224,4.7221
68.189,16.615,9.3706,5.2818,3.2617,3.0249,3.3359,3.5816,3.7734,3.9599,4.0791,4.144,4.2363,4.271,4.3202,4.3719,4.4011,4.394,4.4155,4.4362,4.4274,4.4224,4.4178,4.4346,4.4459,4.4231,4.4084,4.4081,4.429,4.411,4.3941
65.864,14.998,8.982,4.6073,2.8212,2.7007,3.0249,3.2696,3.4745,3.6428,3.7622,3.8565,3.9139,3.9806,4.0051,4.0499,4.0617,4.09,4.0987,4.1012,4.1095,4.1021,4.1108,4.1217,4.0985,4.1142,4.0987,4.0874,4.0964,4.081,4.1011
64.224,14.927,8.5537,4.2187,2.0633,2.3796,2.6956,2.9529,3.1677,3.3299,3.4178,3.5282,3.6102,3.6632,3.7114,3.7375,3.7482,3.7727,3.7881,3.7788,3.7953,3.8048,3.8023,3.7894,3.7933,3.7882,3.7914,3.7904,3.7614,3.7557,3.7394
61.986,14.125,7.988,3.6243,1.8178,2.0646,2.3505,2.6301,2.8592,3.0108,3.1563,3.2558,3.2913,3.3455,3.4122,3.4229,3.4352,3.4709,3.472,3.4805,3.4776,3.4875,3.4976,3.4814,3.4785,3.462,3.4636,3.4883,3.469,3.449,3.4617
61.492,14.104,7.5134,3.0528,1.4823,1.8519,2.0863,2.3503,2.5519,2.6862,2.8076,2.927,2.9902,3.0877,3.0941,3.1258,3.1485,3.157,3.1826,3.1802,3.1719,3.1946,3.1676,3.1876,3.1707,3.1834,3.179,3.161,3.1552,3.1621,3.1588
61.649,14.051,6.8225,2.6761,1.2457,1.5708,1.8083,2.0537,2.2534,2.4202,2.5199,2.6542,2.6906,2.7674,2.8002,2.8187,2.8491,2.8693,2.861,2.8829,2.8816,2.8805,2.8844,2.8844,2.8827,2.888,2.8946,2.8709,2.8637,2.8733,2.8536
61.712,14.201,6.624,2.1981,1.023,1.2792,1.5428,1.7821,1.9769,2.1272,2.2303,2.3469,2.4208,2.4621,2.5201,2.5527,2.5644,2.5775,2.5977,2.5903,2.5925,2.6042,2.5931,2.5932,2.5964,2.5792,2.6012,2.5985,2.5891,2.5738,2.5665
61.728,14.363,6.226,1.9327,0.8282,1.0361,1.3,1.5294,1.7223,1.8578,1.9676,2.0618,2.1376,2.1977,2.2356,2.2807,2.2886,2.3006,2.3128,2.3298,2.3324,2.3259,2.3465,2.3327,2.3292,2.3268,2.3345,2.3149,2.314,2.3103,2.3057
61.507,13.939,6.061,1.6049,0.64097,0.82178,1.0662,1.2863,1.4655,1.5948,1.727,1.8055,1.8729,1.9361,1.988,2.0128,2.0315,2.0492,2.0588,2.0629,2.0722,2.0786,2.0762,2.0824,2.0876,2.0958,2.0857,2.0686,2.0664,2.0655,2.0841
60.385,15.372,5.8912,1.4625,0.56622,0.64473,0.86336,1.0631,1.216,1.3629,1.4857,1.5645,1.6418,1.6853,1.7315,1.7573,1.7989,1.7946,1.8235,1.825,1.8263,1.8415,1.8443,1.845,1.852,1.838,1.8716,1.8563,1.8481,1.8498,1.8458
62.701,16.162,5.9802,1.3679,0.4589,0.50737,0.70081,0.86489,1.018,1.1567,1.2624,1.3411,1.4248,1.4646,1.5186,1.5308,1.5785,1.5881,1.5976,1.6183,1.6143,1.6316,1.6349,1.6391,1.6428,1.6426,1.6457,1.6466,1.6438,1.6444,1.6574
65.464,16.185,5.8691,1.2008,0.39533,0.40093,0.53888,0.68121,0.8431,0.96453,1.0825,1.1475,1.2171,1.2765,1.313,1.3402,1.3665,1.3943,1.4028,1.4289,1.4278,1.4473,1.4521,1.4573,1.4647,1.4585,1.4647,1.4727,1.4588,1.4638,1.4787
69.009,17.734,6.0878,1.2789,0.36414,0.31553,0.43936,0.56214,0.70014,0.8012,0.90309,0.98161,1.0577,1.1003,1.1394,1.1696,1.2018,1.2277,1.2442,1.2526,1.2664,1.2972,1.2933,1.2946,1.3126,1.3122,1.3079,1.319,1.3318,1.3279,1.3314
73.711,18.62,6.456,1.2861,0.4164,0.29536,0.37787,0.47613,0.57943,0.69655,0.77064,0.84043,0.90401,0.95406,1.0008,1.0334,1.0604,1.0755,1.0988,1.1131,1.1387,1.1634,1.1553,1.1618,1.178,1.1797,1.1915,1.2075,1.2009,1.2145,1.2222
78.302,19.425,6.865,1.5201,0.52541,0.30983,0.3199,0.41599,0.48593,0.58846,0.67249,0.73077,0.79523,0.84329,0.8849,0.91827,0.95124,0.97561,0.98857,1.0251,1.0214,1.053,1.0443,1.0711,1.0741,1.0923,1.1046,1.1216,1.1283,1.1325,1.1572
81.852,21.388,7.3043,1.7074,0.66547,0.37254,0.32433,0.37148,0.43618,0.51868,0.6023,0.65057,0.71247,0.78037,0.80106,0.83087,0.86755,0.88937,0.90913,0.94126,0.94682,0.98699,0.9887,1.0184,1.0314,1.0366,1.0506,1.0653,1.0841,1.1026,1.1079
87.279,23.097,7.8516,2.1643,0.94067,0.4916,0.37489,0.38623,0.43839,0.49485,0.55034,0.6089,0.66499,0.70125,0.74415,0.78484,0.81914,0.84547,0.88047,0.89794,0.92396,0.94425,0.96102,1.0063,1.006,1.0343,1.0213,1.057,1.0787,1.0975,1.1131
93.245,24.658,8.6498,2.6443,1.2016,0.67755,0.47444,0.46602,0.46491,0.50794,0.56182,0.60525,0.64496,0.69592,0.73284,0.77409,0.81607,0.8469,0.87217,0.89742,0.91907,0.94698,0.96634,1.0157,1.0238,1.0487,1.0707,1.0891,1.1201,1.1351,1.1604
99.25,26.913,9.6044,3.1803,1.5128,0.86224,0.61229,0.54772,0.54722,0.5637,0.59799,0.63287,0.68378,0.71388,0.75179,0.8013,0.83665,0.86839,0.89658,0.9306,0.95445,0.99191,1.023,1.0525,1.0799,1.1129,1.1425,1.1807,1.1998,1.2371,1.2505
104.71,29.018,10.526,3.8876,1.941,1.1461,0.82264,0.68693,0.656,0.65789,0.68067,0.70717,0.74154,0.78228,0.81986,0.86572,0.90408,0.93471,0.96796,1.0208,1.0456,1.0741,1.1208,1.1487,1.1767,1.2183,1.2589,1.2836,1.3155,1.3525,1.393
112.35,31.562,11.743,4.6085,2.4276,1.4837,1.0868,0.88312,0.8189,0.78609,0.80476,0.83678,0.85322,0.89054,0.92784,0.97148,1.0088,1.0457,1.0935,1.1286,1.1696,1.2096,1.2442,1.3008,1.3318,1.3664,1.4114,1.4557,1.4932,1.5505,1.5582
120.79,34.152,13.123,5.4209,2.9421,1.929,1.3865,1.1474,1.0259,0.97883,0.96844,0.99464,0.99766,1.037,1.0691,1.1281,1.1516,1.1902,1.2314,1.2928,1.3337,1.3769,1.4324,1.4991,1.5219,1.5629,1.6129,1.6903,1.7181,1.7555,1.8283
127.15,37.09,14.443,6.395,3.6449,2.4311,1.7805,1.4436,1.2819,1.2236,1.1941,1.2022,1.2037,1.2309,1.2608,1.3116,1.3501,1.4067,1.4504,1.492,1.5498,1.5893,1.6406,1.7073,1.754,1.8287,1.8672,1.9283,1.9832,2.0183,2.0978
