options);

In main2_4 (line 32)
[x,fval,exitFlag,output] = simulannealbnd(@objectFun, pstart,lb,ub, ...
 
>> main2_4 

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
* 8215       9396       0.182269       0.232133        12.9131
* 8278       9469       0.182269       0.220657         10.524
* 8356       9557       0.182269       0.205562         10.548
  8400       9601       0.182269         1.0637        1.69355
* 8431       9642       0.182269       0.271926        10.9125
* 8499       9720       0.182269       0.239178        11.9398
* 8572       9803       0.182269       0.334022        13.8033
* 8637       9878       0.182269       0.233767        16.9084
* 8717       9968       0.180974       0.260816        14.6656
* 8782      10043       0.180974       0.235543        13.9842
  8800      10061       0.180974       0.295323        3.43272
* 8853      10124       0.180974       0.341342        16.9481
* 8917      10198       0.180974       0.429838        13.8339
* 8980      10271       0.180974       0.332019        17.2353
* 9049      10350       0.180974       0.432023        14.2393
* 9116      10427       0.180974       0.313533        10.7776
* 9194      10515       0.180974       0.226747        11.8804
  9200      10521       0.180974       0.323752        6.18514
* 9280      10611       0.180974        0.81798        10.4951
* 9348      10689       0.180974       0.184497        11.1775
* 9421      10772       0.180974       0.983408        10.6683
* 9491      10852       0.180974       0.547844        12.8622
* 9561      10932       0.180974       0.219961        11.7712
  9600      10971       0.180974       0.215374        1.86716
* 9642      11023       0.180974       0.251491        11.3265
* 9714      11105       0.180974       0.302905        13.9557
* 9786      11187       0.180974       0.360879        15.2252
* 9859      11270       0.180974       0.220301        14.9798
* 9935      11356       0.180974       0.226467        13.4605
 10000      11421       0.180974       0.366005        1.26446
*10011      11442       0.180974       0.251244        10.5447
*10079      11520       0.180974       0.204627         14.143
*10143      11594       0.180974       0.210917         12.169
*10203      11664       0.180974       0.300712        10.4501
*10263      11734       0.180974       0.288817        12.0463
*10338      11819       0.180974       0.291373        12.3007
 10400      11881       0.180974       0.228578        1.31019
*10411      11902       0.180974       0.237282        15.1403
*10489      11990       0.180974       0.228106         11.653
*10553      12064       0.180974       0.227169        16.5836
*10613      12134       0.180974       0.248255        20.2654
*10674      12205       0.180974       0.228971         10.427
*10746      12287       0.180974        0.21153        10.0671
 10800      12341       0.180974       0.277651        1.42571
*10814      12365       0.180974       0.269884        13.8139
*10889      12450       0.180974       0.631101        11.4618
*10953      12524       0.180974         0.2202        14.3254
*11021      12602       0.180974       0.290928         9.5825
*11086      12677       0.180974       0.224589        31.7084
*11146      12747       0.180974       0.274285        13.4966
 11200      12801       0.180974       0.269322        1.49315
*11218      12829       0.180974       0.215102        15.0482
*11285      12906       0.180974        0.21067        17.9208
*11362      12993       0.180974       0.720791        13.3115
*11424      13065       0.180974       0.257061        15.8227
*11491      13142       0.180974       0.268892        12.0567
*11565      13226       0.180974        0.20396        10.4531
 11600      13261       0.180974       0.271192        2.00509
*11639      13310       0.180974       0.271056        11.9032
*11704      13385       0.180974       0.424107        13.3915
*11780      13471       0.180974       0.244403          11.65
*11848      13549       0.180974       0.633643        10.7093
*11911      13622       0.180974         1.0869        11.2214
*11984      13705       0.180974       0.386147        14.9919
 12000      13721       0.180974       0.213514         3.6996

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
*12051      13782       0.180974       0.738416         13.578
*12116      13857       0.180974       0.637233        11.3073
*12185      13936       0.180974        0.20648        14.8391
*12257      14018       0.180974        0.20858        11.4172
*12326      14097       0.180974       0.219508        17.5909
*12399      14180       0.180974        0.20535        11.4258
 12400      14181       0.180974       0.290472        9.83645
*12468      14259       0.180974       0.295972        12.1197
*12548      14349       0.180974       0.715716        12.0667
*12614      14425       0.180974       0.218334        14.6552
*12679      14500       0.180974       0.499594        14.9111
*12751      14582       0.180974       0.291166          18.73
 12800      14631       0.180974       0.219358        1.61036
*12818      14659       0.180974       0.304221        12.7494
*12883      14734       0.180974       0.425509        14.0684
*12954      14815       0.180974        1.35972        9.61321
*13025      14896       0.180974       0.752994        12.5674
*13097      14978       0.180974       0.519775        12.3287
*13172      15063       0.180974       0.510022        14.1453
 13200      15091       0.180974       0.685954        2.44149
*13238      15139       0.180974       0.343682        17.9225
*13311      15222       0.180974       0.221997        12.4516
*13390      15311       0.180974       0.581318        13.2301
*13465      15396       0.180974       0.194899        13.3319
*13533      15474       0.180974       0.291021        13.5863
*13592      15543       0.180974       0.204257        11.6136
 13600      15551       0.180974       0.281494        5.23413
*13671      15632       0.180974       0.244955         12.688
Optimization terminated: change in best function value less than options.TolFun.

x =

    0.1911
   -0.4967
    0.5537
    0.2803
    0.0961
   -2.5705
    0.1677
    0.0004
    0.3249
   -1.7521


fval =

    0.1810


exitFlag =

     1


output = 

     iterations: 13678
      funccount: 15639
        message: [1x80 char]
       rngstate: [1x1 struct]
    problemtype: 'boundconstraints'
    temperature: [10x1 double]
      totaltime: 2.1313e+04

The number of iterations was : 13678
The number of function evaluations was : 15639
