Time (min),wt,mko,tko
18,5.8862,0.53589,8.356
18.1,5.9366,0.5389,8.4225
18.2,5.9875,0.54197,8.4893
18.3,6.0387,0.54508,8.5564
18.4,6.0904,0.54824,8.6237
18.5,6.1424,0.55145,8.6913
18.6,6.1948,0.5547,8.7592
18.7,6.2476,0.558,8.8275
18.8,6.3008,0.56135,8.896
18.9,6.3543,0.56473,8.9648
19,6.4082,0.56816,9.0339
19.1,6.4624,0.57163,9.1033
19.2,6.517,0.57514,9.173
19.3,6.5719,0.5787,9.243
19.4,6.6272,0.5823,9.3134
19.5,6.6829,0.58595,9.3841
19.6,6.739,0.58964,9.4551
19.7,6.7961,0.59337,9.5264
19.8,6.8538,0.59732,9.5981
19.9,6.9121,0.60156,9.6701
20,6.9711,0.60597,9.7425
20.1,7.0307,0.61055,9.8152
20.2,7.091,0.61529,9.8903
20.3,7.1521,0.62054,9.9672
20.4,7.2139,0.62625,10.046
20.5,7.2769,0.63234,10.126
20.6,7.341,0.63879,10.208
20.7,7.4062,0.64579,10.292
20.8,7.4724,0.65324,10.378
20.9,7.5398,0.66114,10.467
21,7.6083,0.6695,10.559
21.1,7.678,0.67833,10.652
21.2,7.7491,0.68762,10.747
21.3,7.821,0.69737,10.844
21.4,7.894,0.70757,10.943
21.5,7.9681,0.71822,11.045
21.6,8.0434,0.72931,11.15
21.7,8.12,0.74086,11.257
21.8,8.1978,0.75279,11.368
21.9,8.2769,0.76513,11.481
22,8.3573,0.7779,11.597
22.1,8.4388,0.7911,11.714
22.2,8.5211,0.80474,11.834
22.3,8.6046,0.81881,11.956
22.4,8.6892,0.83332,12.081
22.5,8.7749,0.84825,12.208
22.6,8.8617,0.86363,12.337
22.7,8.9497,0.87943,12.468
22.8,9.0388,0.89561,12.601
22.9,9.129,0.91212,12.737
23,9.2201,0.92904,12.875
23.1,9.3122,0.94637,13.015
23.2,9.4054,0.96411,13.157
23.3,9.4996,0.98225,13.301
23.4,9.5947,1.0008,13.447
23.5,9.6909,1.0198,13.595
23.6,9.7881,1.0391,13.745
23.7,9.8862,1.0589,13.896
23.8,9.9858,1.079,14.049
23.9,10.087,1.0995,14.204
24,10.189,1.1203,14.361
24.1,10.292,1.1415,14.52
24.2,10.396,1.163,14.681
24.3,10.501,1.185,14.843
24.4,10.608,1.2073,15.007
24.5,10.715,1.23,15.173
24.6,10.824,1.2531,15.341
24.7,10.933,1.2766,15.51
24.8,11.044,1.3004,15.681
24.9,11.156,1.3248,15.856
25,11.269,1.3496,16.034
25.1,11.383,1.3755,16.213
25.2,11.499,1.4029,16.396
25.3,11.62,1.4317,16.581
25.4,11.743,1.4621,16.77
25.5,11.868,1.494,16.961
25.6,11.995,1.5275,17.156
25.7,12.125,1.5627,17.354
25.8,12.258,1.5993,17.555
25.9,12.393,1.6376,17.758
26,12.531,1.6774,17.965
26.1,12.672,1.7187,18.176
26.2,12.815,1.7616,18.39
26.3,12.961,1.806,18.608
26.4,13.11,1.8519,18.83
26.5,13.261,1.8993,19.055
26.6,13.415,1.9482,19.285
26.7,13.572,1.9986,19.516
26.8,13.732,2.0505,19.749
26.9,13.895,2.1037,19.986
27,14.062,2.1584,20.227
27.1,14.231,2.2146,20.47
27.2,14.404,2.2722,20.718
27.3,14.581,2.3313,20.969
27.4,14.759,2.3917,21.223
27.5,14.939,2.4535,21.481
27.6,15.122,2.5167,21.742
27.7,15.307,2.5813,22.007
27.8,15.496,2.6474,22.276
27.9,15.688,2.7146,22.547
28,15.882,2.783,22.82
28.1,16.079,2.8527,23.097
28.2,16.279,2.9236,23.376
28.3,16.482,2.9959,23.659
28.4,16.688,3.0694,23.945
28.5,16.895,3.1441,24.233
28.6,17.105,3.2201,24.525
28.7,17.318,3.2973,24.82
28.8,17.533,3.3758,25.118
28.9,17.75,3.4554,25.419
29,17.97,3.5362,25.723
29.1,18.192,3.6182,26.028
29.2,18.417,3.7014,26.334
29.3,18.644,3.7858,26.642
29.4,18.874,3.8713,26.953
29.5,19.105,3.9579,27.265
29.6,19.335,4.0456,27.579
29.7,19.566,4.1345,27.895
29.8,19.798,4.2245,28.212
29.9,20.03,4.3155,28.532
30,20.264,4.4076,28.853
30.1,20.498,4.5008,29.175
30.2,20.732,4.5938,29.499
30.3,20.967,4.6866,29.82
30.4,21.202,4.7795,30.136
30.5,21.438,4.8723,30.451
30.6,21.672,4.9649,30.765
30.7,21.905,5.0573,31.077
30.8,22.137,5.1494,31.387
30.9,22.367,5.2414,31.695
31,22.597,5.3329,32.001
31.1,22.825,5.4239,32.304
31.2,23.051,5.5142,32.604
31.3,23.276,5.6038,32.902
31.4,23.498,5.6925,33.196
31.5,23.719,5.7815,33.488
31.6,23.937,5.87,33.78
31.7,24.154,5.9579,34.069
