Time (min),wt,mko,tko
17.6,1.507,0.13476,1.734
17.7,1.5112,0.13736,1.7418
17.8,1.5153,0.14002,1.7494
17.9,1.5193,0.14274,1.7569
18,1.5232,0.14551,1.7643
18.1,1.527,0.14834,1.7714
18.2,1.5306,0.15123,1.7785
18.3,1.5342,0.15418,1.7854
18.4,1.5377,0.15719,1.7922
18.5,1.5411,0.16024,1.7988
18.6,1.5444,0.16335,1.8053
18.7,1.5476,0.16651,1.8117
18.8,1.5507,0.16973,1.8179
18.9,1.5538,0.173,1.8242
19,1.5567,0.17634,1.8304
19.1,1.5596,0.17972,1.8365
19.2,1.5625,0.18317,1.8425
19.3,1.5653,0.18667,1.8483
19.4,1.568,0.19022,1.8541
19.5,1.5706,0.19383,1.8598
19.6,1.5732,0.1975,1.8653
19.7,1.5757,0.20122,1.8707
19.8,1.5782,0.205,1.876
19.9,1.5807,0.20883,1.8811
20,1.5831,0.21272,1.8861
20.1,1.5855,0.21666,1.891
20.2,1.5878,0.22066,1.8957
20.3,1.5901,0.22472,1.9003
20.4,1.5923,0.22883,1.905
20.5,1.5945,0.233,1.9096
20.6,1.5967,0.23723,1.9142
20.7,1.5988,0.24151,1.9186
20.8,1.6009,0.24585,1.923
20.9,1.603,0.25024,1.9273
21,1.605,0.25469,1.9315
21.1,1.607,0.2592,1.9356
21.2,1.609,0.26376,1.9397
21.3,1.6109,0.26838,1.9437
21.4,1.6129,0.27305,1.9475
21.5,1.6147,0.27778,1.9514
21.6,1.6166,0.28257,1.9551
21.7,1.6184,0.28741,1.9588
21.8,1.6203,0.29231,1.9624
21.9,1.6221,0.29727,1.966
22,1.6238,0.30228,1.9695
22.1,1.6256,0.30735,1.9729
22.2,1.6273,0.31248,1.9763
22.3,1.629,0.31766,1.9796
22.4,1.6307,0.32289,1.9829
22.5,1.6323,0.32819,1.9861
22.6,1.634,0.33353,1.9892
22.7,1.6356,0.33894,1.9923
22.8,1.6372,0.3444,1.9954
22.9,1.6388,0.34992,1.9984
23,1.6403,0.35549,2.0014
23.1,1.6419,0.36112,2.0043
23.2,1.6434,0.36681,2.0071
23.3,1.6449,0.37255,2.01
23.4,1.6464,0.37835,2.0128
23.5,1.6479,0.3842,2.0155
23.6,1.6493,0.39011,2.0183
23.7,1.6508,0.39608,2.021
23.8,1.6522,0.4021,2.0236
23.9,1.6537,0.40818,2.0262
24,1.6551,0.41432,2.0288
24.1,1.6565,0.42051,2.0314
24.2,1.6579,0.42674,2.034
24.3,1.6593,0.43302,2.0365
24.4,1.6606,0.43935,2.039
24.5,1.662,0.44574,2.0415
24.6,1.6634,0.45218,2.0439
24.7,1.6647,0.45868,2.0463
24.8,1.6661,0.46523,2.0486
24.9,1.6674,0.47184,2.051
25,1.6688,0.47849,2.0533
25.1,1.6701,0.48521,2.0556
25.2,1.6714,0.49198,2.0579
25.3,1.6728,0.4988,2.0602
25.4,1.6741,0.50568,2.0625
25.5,1.6754,0.51261,2.0647
25.6,1.6767,0.5196,2.0669
25.7,1.678,0.52664,2.0691
25.8,1.6792,0.53373,2.0714
25.9,1.6805,0.54088,2.0735
26,1.6817,0.54809,2.0756
26.1,1.683,0.55535,2.0778
26.2,1.6842,0.56266,2.0799
26.3,1.6854,0.57003,2.082
26.4,1.6866,0.57745,2.084
26.5,1.6879,0.58493,2.0861
26.6,1.6891,0.59246,2.0881
26.7,1.6903,0.60005,2.0902
26.8,1.6915,0.60769,2.0922
26.9,1.6927,0.61538,2.0942
27,1.694,0.62311,2.0962
27.1,1.6952,0.63085,2.0982
27.2,1.6964,0.63865,2.1001
27.3,1.6976,0.64649,2.102
27.4,1.6988,0.65439,2.1039
27.5,1.7,0.66234,2.1057
27.6,1.7012,0.67034,2.1075
27.7,1.7025,0.67838,2.1093
27.8,1.7037,0.68648,2.111
27.9,1.7049,0.69463,2.1127
28,1.7061,0.70283,2.1144
28.1,1.7073,0.71108,2.1161
28.2,1.7084,0.71939,2.1177
28.3,1.7095,0.72774,2.1194
28.4,1.7105,0.73614,2.1209
28.5,1.7116,0.74459,2.1225
28.6,1.7127,0.7531,2.124
28.7,1.7137,0.76165,2.1255
28.8,1.7148,0.77026,2.1269
28.9,1.7158,0.77891,2.1284
29,1.7168,0.78762,2.1297
29.1,1.7178,0.79637,2.1311
29.2,1.7188,0.80518,2.1324
29.3,1.7198,0.81404,2.1336
29.4,1.7208,0.82295,2.1349
29.5,1.7217,0.83191,2.136
29.6,1.7227,0.84092,2.1372
29.7,1.7236,0.84998,2.1382
29.8,1.7245,0.85906,2.1393
29.9,1.7254,0.86811,2.1402
30,1.7263,0.8772,2.1412
30.1,1.7272,0.88631,2.1421
30.2,1.7281,0.89545,2.1429
30.3,1.729,0.90463,2.1436
30.4,1.7298,0.91383,2.1444
30.5,1.7306,0.92306,2.145
30.6,1.7314,0.93231,2.1456
30.7,1.7321,0.94153,2.1461
30.8,1.7326,0.95075,2.1466
30.9,1.7332,0.95999,2.1469
31,1.7337,0.96925,2.1471
31.1,1.7342,0.97851,2.1473
31.2,1.7346,0.98779,2.1474
31.3,1.735,0.99708,2.1474
31.4,1.7354,1.0064,2.1473
31.5,1.7357,1.0157,2.1471
31.6,1.736,1.025,2.1468
31.7,1.7362,1.0343,2.1464
31.8,1.7364,1.0436,2.1459
31.9,1.7365,1.0529,2.1453
32,1.7366,1.0622,2.1446
32.1,1.7367,1.0716,2.1439
32.2,1.7367,1.0809,2.1429
32.3,1.7366,1.0903,2.1419
32.4,1.7365,1.0996,2.1408
32.5,1.7364,1.109,2.1395
32.6,1.7362,1.1183,2.1381
32.7,1.7359,1.1277,2.1366
32.8,1.7356,1.1371,2.135
32.9,1.7353,1.1465,2.1332
33,1.7348,1.1558,2.1313
33.1,1.7344,1.1652,2.1293
33.2,1.734,1.1746,2.1271
33.3,1.7336,1.184,2.1247
33.4,1.7332,1.1934,2.1222
33.5,1.7328,1.2029,2.1196
33.6,1.7323,1.2123,2.1168
33.7,1.7318,1.2217,2.1138
33.8,1.7312,1.2311,2.1107
33.9,1.7307,1.2406,2.1074
34,1.7301,1.25,2.1039
34.1,1.7294,1.2594,2.1002
34.2,1.7287,1.2689,2.0964
34.3,1.728,1.2784,2.0924
34.4,1.7273,1.2878,2.0881
34.5,1.7265,1.2973,2.0837
34.6,1.7257,1.3068,2.0797
34.7,1.7248,1.3163,2.0758
34.8,1.7239,1.3257,2.0719
34.9,1.723,1.3352,2.0678
35,1.722,1.3447,2.0636
35.1,1.721,1.3542,2.0593
35.2,1.72,1.3638,2.0549
35.3,1.7189,1.3733,2.0503
35.4,1.7178,1.3828,2.0457
35.5,1.7167,1.3923,2.0409
35.6,1.7155,1.4019,2.036
35.7,1.7143,1.4114,2.0311
35.8,1.7132,1.4209,2.026
35.9,1.7121,1.4305,2.0208
36,1.711,1.44,2.0154
36.1,1.7099,1.4496,2.01
36.2,1.7087,1.4592,2.0044
36.3,1.7076,1.4687,1.9988
36.4,1.7064,1.4783,1.993
36.5,1.7052,1.4879,1.9871
36.6,1.704,1.4975,1.9811
36.7,1.7028,1.507,1.9749
36.8,1.7015,1.5166,1.9687
36.9,1.7003,1.5262,1.9625
37,1.699,1.5358,1.9564
37.1,1.6978,1.5454,1.9501
37.2,1.6966,1.555,1.9438
37.3,1.6953,1.5647,1.9374
37.4,1.6941,1.5743,1.931
37.5,1.6928,1.5839,1.9244
37.6,1.6916,1.5935,1.9179
37.7,1.6903,1.6032,1.9112
37.8,1.6891,1.6128,1.9045
37.9,1.6878,1.6225,1.8978
38,1.6865,1.6321,1.8909
38.1,1.6852,1.6418,1.8841
38.2,1.6839,1.6515,1.8772
38.3,1.6826,1.6611,1.8702
38.4,1.6813,1.6708,1.8632
38.5,1.68,1.6805,1.8561
38.6,1.6787,1.6902,1.849
38.7,1.6774,1.6998,1.8418
38.8,1.6761,1.7095,1.8346
38.9,1.6748,1.7192,1.8274
39,1.6735,1.7289,1.8201
39.1,1.6721,1.7386,1.8127
39.2,1.6708,1.7483,1.8054
39.3,1.6695,1.758,1.798
39.4,1.6681,1.7677,1.7905
39.5,1.6668,1.7774,1.7831
39.6,1.6655,1.7872,1.7756
39.7,1.6641,1.7969,1.768
39.8,1.6628,1.8066,1.7605
39.9,1.6614,1.8163,1.7529
40,1.6601,1.8261,1.7453
40.1,1.6587,1.8358,1.7377
40.2,1.6573,1.8455,1.73
40.3,1.656,1.8553,1.7223
40.4,1.6546,1.865,1.7147
40.5,1.6532,1.8748,1.707
40.6,1.6518,1.8845,1.6992
40.7,1.6505,1.8943,1.6914
40.8,1.6491,1.904,1.6835
40.9,1.6477,1.9138,1.6756
41,1.6463,1.9236,1.6677
41.1,1.645,1.9333,1.6597
41.2,1.6437,1.9431,1.6517
41.3,1.6423,1.9529,1.6437
41.4,1.641,1.9627,1.6357
41.5,1.6396,1.9725,1.6276
41.6,1.6383,1.9823,1.6195
41.7,1.6369,1.9921,1.6114
41.8,1.6356,2.0019,1.6033
41.9,1.6342,2.0117,1.5951
42,1.6328,2.0215,1.5869
42.1,1.6315,2.0313,1.5787
42.2,1.6301,2.0411,1.5705
42.3,1.6288,2.0509,1.5623
42.4,1.6274,2.0606,1.5541
42.5,1.626,2.0704,1.5458
42.6,1.6247,2.0802,1.5374
42.7,1.6233,2.0901,1.529
42.8,1.6219,2.0999,1.5206
42.9,1.6206,2.1097,1.5122
43,1.6192,2.1195,1.5037
43.1,1.6178,2.1293,1.4952
43.2,1.6164,2.1391,1.4867
43.3,1.6151,2.1489,1.4782
43.4,1.6137,2.1588,1.4696
43.5,1.6123,2.1686,1.461
43.6,1.6109,2.1784,1.4524
43.7,1.6095,2.1882,1.4438
43.8,1.6081,2.1981,1.4351
43.9,1.6067,2.2079,1.4264
44,1.6054,2.2177,1.4177
44.1,1.604,2.2276,1.409
44.2,1.6026,2.2374,1.4002
44.3,1.6012,2.2473,1.3914
44.4,1.5998,2.2571,1.3829
44.5,1.5984,2.267,1.3744
44.6,1.597,2.2768,1.3659
44.7,1.5956,2.2867,1.3575
44.8,1.5942,2.2965,1.3491
44.9,1.5928,2.3063,1.3408
45,1.5914,2.3157,1.3325
45.1,1.59,2.325,1.3244
45.2,1.5885,2.3342,1.3162
45.3,1.5871,2.3434,1.3082
45.4,1.5857,2.3525,1.3002
45.5,1.5843,2.3614,1.2923
45.6,1.5829,2.3703,1.2844
45.7,1.5815,2.379,1.2767
45.8,1.58,2.3876,1.2692
45.9,1.5786,2.3961,1.2618
46,1.5773,2.4045,1.2546
46.1,1.5761,2.4127,1.2475
46.2,1.5748,2.4208,1.2406
46.3,1.5735,2.4288,1.2338
46.4,1.5723,2.4366,1.2272
46.5,1.571,2.4444,1.2208
46.6,1.5698,2.452,1.2145
46.7,1.5686,2.4595,1.2084
46.8,1.5674,2.4668,1.2025
46.9,1.5662,2.4739,1.1968
47,1.5651,2.4809,1.1913
47.1,1.5639,2.4878,1.1859
47.2,1.5627,2.4944,1.1805
47.3,1.5616,2.5009,1.1752
47.4,1.5605,2.5073,1.1701
47.5,1.5594,2.5134,1.1651
47.6,1.5583,2.5194,1.1603
47.7,1.5572,2.5251,1.1556
47.8,1.5562,2.5307,1.1511
47.9,1.5551,2.5364,1.1467
48,1.5541,2.5419,1.1425
48.1,1.5531,2.5473,1.1384
48.2,1.5521,2.5525,1.1344
48.3,1.5511,2.5576,1.1306
48.4,1.5501,2.5625,1.1267
48.5,1.5492,2.5673,1.123
48.6,1.5482,2.5719,1.1193
48.7,1.5473,2.5764,1.1158
48.8,1.5464,2.5807,1.1124
48.9,1.5455,2.5849,1.109
49,1.5446,2.5889,1.1058
49.1,1.5437,2.5928,1.1028
49.2,1.5428,2.5965,1.0998
49.3,1.5419,2.6001,1.0969
49.4,1.541,2.6037,1.0942
49.5,1.5401,2.6072,1.0915
49.6,1.5393,2.6105,1.0888
49.7,1.5384,2.6137,1.0862
49.8,1.5376,2.6168,1.0836
49.9,1.5367,2.6198,1.0811
50,1.5359,2.6226,1.0786
50.1,1.5351,2.6254,1.0763
50.2,1.5343,2.628,1.074
50.3,1.5335,2.6305,1.0718
50.4,1.5327,2.6329,1.0697
50.5,1.5319,2.6352,1.0677
50.6,1.5311,2.6374,1.0657
50.7,1.5303,2.6395,1.0638
50.8,1.5295,2.6414,1.0619
50.9,1.5288,2.6433,1.06
51,1.528,2.6451,1.0582
51.1,1.5272,2.6468,1.0564
51.2,1.5264,2.6484,1.0547
51.3,1.5256,2.6498,1.053
51.4,1.5249,2.6512,1.0514
51.5,1.5241,2.6525,1.0498
51.6,1.5234,2.6537,1.0482
51.7,1.5226,2.6548,1.0468
51.8,1.5219,2.6559,1.0454
51.9,1.5211,2.6568,1.044
52,1.5204,2.6576,1.0427
52.1,1.5197,2.6584,1.0414
52.2,1.519,2.6591,1.0401
52.3,1.5183,2.6596,1.0388
52.4,1.5176,2.66,1.0376
52.5,1.5169,2.6603,1.0364
52.6,1.5162,2.6606,1.0353
52.7,1.5156,2.6607,1.0342
52.8,1.5149,2.6608,1.0331
52.9,1.5142,2.6607,1.032
53,1.5136,2.6606,1.031
53.1,1.5129,2.6604,1.03
53.2,1.5122,2.6602,1.029
53.3,1.5116,2.6598,1.028
53.4,1.5109,2.6594,1.0271
53.5,1.5102,2.6589,1.0262
53.6,1.5096,2.6583,1.0253
53.7,1.5089,2.6577,1.0244
53.8,1.5082,2.657,1.0236
53.9,1.5076,2.6562,1.0228
54,1.5069,2.6553,1.022
54.1,1.5063,2.6544,1.0213
54.2,1.5056,2.6534,1.0205
54.3,1.5049,2.6523,1.0198
54.4,1.5043,2.6512,1.0191
54.5,1.5036,2.65,1.0184
54.6,1.5029,2.6487,1.0177
54.7,1.5023,2.6474,1.017
54.8,1.5016,2.646,1.0164
54.9,1.5009,2.6445,1.0158
55,1.5002,2.643,1.0152
55.1,1.4995,2.6415,1.0146
55.2,1.4989,2.6399,1.014
55.3,1.4982,2.6382,1.0135
55.4,1.4975,2.6364,1.0129
55.5,1.4968,2.6345,1.0124
55.6,1.4961,2.6325,1.0119
55.7,1.4954,2.6305,1.0114
55.8,1.4947,2.6284,1.0109
55.9,1.494,2.6262,1.0104
56,1.4933,2.624,1.01
56.1,1.4925,2.6217,1.0095
56.2,1.4918,2.6194,1.009
56.3,1.4911,2.6169,1.0086
56.4,1.4903,2.6145,1.0082
56.5,1.4896,2.612,1.0078
56.6,1.4889,2.6094,1.0074
56.7,1.4881,2.6068,1.007
56.8,1.4873,2.6041,1.0066
56.9,1.4866,2.6013,1.0063
57,1.4858,2.5986,1.0059
57.1,1.485,2.5957,1.0056
57.2,1.4842,2.5928,1.0052
57.3,1.4834,2.5899,1.0049
57.4,1.4827,2.5869,1.0046
57.5,1.482,2.5838,1.0043
57.6,1.4813,2.5808,1.004
57.7,1.4806,2.5776,1.0036
57.8,1.48,2.5744,1.0034
57.9,1.4793,2.5712,1.0031
58,1.4786,2.5679,1.0028
58.1,1.4779,2.5646,1.0025
58.2,1.4773,2.5613,1.0023
58.3,1.4766,2.5579,1.002
58.4,1.4759,2.5544,1.0018
58.5,1.4752,2.551,1.0015
58.6,1.4745,2.5475,1.0013
58.7,1.4739,2.5441,1.0011
58.8,1.4732,2.5406,1.0009
58.9,1.4725,2.5371,1.0006
59,1.4718,2.5336,1.0004
59.1,1.4712,2.53,1.0002
59.2,1.4705,2.5265,1
59.3,1.4698,2.5229,0.9998
59.4,1.4691,2.5193,0.99959
59.5,1.4685,2.5156,0.99938
59.6,1.4678,2.512,0.99917
59.7,1.4671,2.5083,0.99897
59.8,1.4664,2.5046,0.99876
59.9,1.4657,2.501,0.99855
60,1.4651,2.4972,0.99835
60.1,1.4644,2.4935,0.99815
60.2,1.4637,2.4898,0.99794
60.3,1.463,2.486,0.99774
60.4,1.4624,2.4823,0.99753
60.5,1.4617,2.4785,0.99732
60.6,1.461,2.4747,0.99712
60.7,1.4603,2.471,0.99691
60.8,1.4597,2.4672,0.99669
60.9,1.459,2.4634,0.99648
61,1.4583,2.4596,0.99626
61.1,1.4576,2.4558,0.99605
61.2,1.4569,2.452,0.99582
61.3,1.4563,2.4482,0.9956
61.4,1.4556,2.4445,0.99537
61.5,1.4549,2.4407,0.99514
61.6,1.4543,2.4369,0.9949
61.7,1.4537,2.4331,0.99466
61.8,1.4531,2.4294,0.99441
61.9,1.4525,2.4257,0.99416
62,1.4519,2.422,0.99393
62.1,1.4513,2.4183,0.99369
62.2,1.4507,2.4146,0.99346
62.3,1.4501,2.4109,0.99322
62.4,1.4495,2.4073,0.99297
62.5,1.4489,2.4036,0.99272
62.6,1.4483,2.4,0.99247
62.7,1.4477,2.3964,0.99221
62.8,1.4471,2.3929,0.99195
62.9,1.4465,2.3893,0.99169
63,1.4459,2.3858,0.99142
63.1,1.4454,2.3823,0.99114
63.2,1.4448,2.3789,0.99086
63.3,1.4442,2.3754,0.99058
63.4,1.4436,2.372,0.99029
63.5,1.4431,2.3686,0.98999
63.6,1.4425,2.3653,0.98969
63.7,1.4419,2.362,0.98938
63.8,1.4414,2.3587,0.98906
63.9,1.4408,2.3554,0.98874
64,1.4403,2.3522,0.98841
64.1,1.4397,2.3491,0.98808
64.2,1.4392,2.3459,0.98773
64.3,1.4386,2.3429,0.98738
64.4,1.4381,2.3398,0.98702
64.5,1.4376,2.3368,0.98666
64.6,1.437,2.3338,0.98629
64.7,1.4365,2.3309,0.98595
64.8,1.436,2.3281,0.98561
64.9,1.4354,2.3251,0.98527
65,1.4349,2.322,0.98493
65.1,1.4344,2.319,0.98458
65.2,1.4339,2.316,0.98423
65.3,1.4333,2.3131,0.98387
65.4,1.4328,2.3101,0.98352
65.5,1.4323,2.3072,0.98316
65.6,1.4318,2.3043,0.98279
65.7,1.4313,2.3015,0.98242
65.8,1.4308,2.2987,0.98205
65.9,1.4303,2.2959,0.98168
66,1.4297,2.2931,0.9813
66.1,1.4292,2.2904,0.98091
66.2,1.4287,2.2877,0.98053
66.3,1.4282,2.285,0.98014
66.4,1.4277,2.2824,0.97975
66.5,1.4272,2.2798,0.97935
66.6,1.4267,2.2773,0.97895
66.7,1.4262,2.2747,0.97855
