Time (min),LPS,CpG,PIC
243,78.517,35.407,51.527
244,78.319,35.41,51.55
245,78.121,35.413,51.573
246,77.922,35.416,51.582
247,77.724,35.419,51.592
248,77.526,35.422,51.602
249,77.328,35.425,51.611
250,77.133,35.428,51.621
251,76.942,35.431,51.631
252,76.75,35.434,51.64
253,76.559,35.437,51.65
254,76.368,35.44,51.648
255,76.176,35.442,51.641
256,75.985,35.445,51.634
257,75.794,35.447,51.627
258,75.602,35.45,51.621
259,75.411,35.452,51.614
260,75.226,35.455,51.607
261,75.043,35.457,51.6
262,74.86,35.46,51.587
263,74.676,35.462,51.564
264,74.493,35.465,51.541
265,74.31,35.467,51.517
266,74.127,35.47,51.494
267,73.943,35.472,51.471
268,73.76,35.475,51.447
269,73.578,35.477,51.424
270,73.406,35.48,51.4
271,73.234,35.481,51.377
272,73.062,35.482,51.354
273,72.89,35.483,51.33
274,72.718,35.484,51.302
275,72.546,35.485,51.266
276,72.374,35.486,51.231
277,72.203,35.487,51.196
278,72.031,35.488,51.161
279,71.859,35.489,51.126
280,71.687,35.49,51.09
281,71.515,35.491,51.055
282,71.343,35.493,51.02
283,71.171,35.494,50.985
284,71.012,35.495,50.95
285,70.855,35.496,50.914
286,70.699,35.497,50.878
287,70.542,35.496,50.842
288,70.385,35.496,50.805
289,70.228,35.495,50.769
290,70.072,35.495,50.732
291,69.915,35.495,50.696
292,69.758,35.494,50.659
293,69.602,35.494,50.622
294,69.445,35.494,50.586
295,69.288,35.493,50.549
296,69.132,35.493,50.513
297,68.975,35.492,50.476
298,68.828,35.492,50.443
299,68.688,35.492,50.413
300,68.548,35.491,50.382
301,68.408,35.491,50.352
302,68.267,35.49,50.322
303,68.127,35.489,50.291
304,67.987,35.487,50.261
305,67.847,35.486,50.23
306,67.707,35.484,50.2
307,67.567,35.483,50.169
308,67.427,35.481,50.139
309,67.287,35.48,50.108
310,67.147,35.478,50.084
311,67.006,35.477,50.062
312,66.872,35.475,50.04
313,66.749,35.474,50.018
314,66.626,35.472,49.996
315,66.503,35.471,49.973
316,66.38,35.469,49.951
317,66.257,35.468,49.929
318,66.134,35.466,49.907
319,66.011,35.465,49.885
320,65.888,35.463,49.863
321,65.765,35.462,49.84
322,65.643,35.46,49.823
323,65.52,35.458,49.807
324,65.397,35.457,49.791
325,65.274,35.455,49.775
326,65.152,35.454,49.759
327,65.046,35.452,49.743
328,64.941,35.451,49.726
329,64.835,35.449,49.71
330,64.73,35.448,49.694
331,64.624,35.446,49.678
332,64.518,35.444,49.662
333,64.413,35.442,49.646
334,64.307,35.441,49.63
335,64.202,35.439,49.614
336,64.096,35.437,49.598
337,63.99,35.435,49.583
338,63.885,35.433,49.568
339,63.779,35.432,49.554
340,63.674,35.43,49.539
341,63.585,35.428,49.524
342,63.502,35.426,49.509
343,63.418,35.424,49.495
344,63.334,35.422,49.48
345,63.25,35.421,49.465
346,63.166,35.419,49.451
347,63.082,35.417,49.436
348,62.999,35.415,49.421
349,62.915,35.413,49.406
