Time (min),wt,mko,tko
16.8,0.074058,0.076701,0.0091808
16.9,0.074481,0.077125,0.0092329
17,0.074904,0.077549,0.0092849
17.1,0.075328,0.077972,0.009337
17.2,0.075753,0.078395,0.0093892
17.3,0.07618,0.078817,0.0094414
17.4,0.076607,0.079239,0.0094936
17.5,0.077035,0.07966,0.0095459
17.6,0.077464,0.080081,0.0095982
17.7,0.077895,0.080501,0.0096506
17.8,0.078327,0.080921,0.0097031
17.9,0.078759,0.081341,0.0097555
18,0.079193,0.08176,0.0098081
18.1,0.079629,0.082178,0.0098607
18.2,0.080065,0.082596,0.0099134
18.3,0.080503,0.083014,0.0099661
18.4,0.080943,0.083431,0.010019
18.5,0.081383,0.083848,0.010072
18.6,0.081825,0.084264,0.010125
18.7,0.082269,0.08468,0.010178
18.8,0.082714,0.085095,0.010231
18.9,0.083161,0.08551,0.010284
19,0.083609,0.085924,0.010337
19.1,0.084059,0.086338,0.010391
19.2,0.08451,0.086751,0.010444
19.3,0.084963,0.087164,0.010498
19.4,0.085418,0.087577,0.010551
19.5,0.085874,0.087989,0.010605
19.6,0.086333,0.0884,0.010659
19.7,0.086793,0.088811,0.010713
19.8,0.087255,0.089222,0.010767
19.9,0.087719,0.089632,0.010821
20,0.088184,0.090041,0.010876
20.1,0.088652,0.09045,0.01093
20.2,0.089122,0.090859,0.010984
20.3,0.089594,0.091267,0.011039
20.4,0.090067,0.091675,0.011094
20.5,0.090543,0.092082,0.011149
20.6,0.091021,0.092489,0.011204
20.7,0.091501,0.092895,0.011259
20.8,0.091983,0.093301,0.011314
20.9,0.092468,0.093707,0.011369
21,0.092954,0.094112,0.011425
21.1,0.093443,0.094516,0.011481
21.2,0.093935,0.094921,0.011536
21.3,0.094428,0.095324,0.011592
21.4,0.094924,0.095727,0.011648
21.5,0.095423,0.09613,0.011705
21.6,0.095924,0.096532,0.011761
21.7,0.096427,0.096934,0.011818
21.8,0.096933,0.097336,0.011874
21.9,0.097441,0.097737,0.011931
22,0.097952,0.098137,0.011988
22.1,0.098465,0.098537,0.012045
22.2,0.098981,0.098937,0.012103
22.3,0.0995,0.099336,0.01216
22.4,0.10002,0.099735,0.012218
22.5,0.10055,0.10013,0.012276
22.6,0.10107,0.10053,0.012334
22.7,0.1016,0.10093,0.012392
22.8,0.10213,0.10133,0.012451
22.9,0.10267,0.10172,0.012509
23,0.10321,0.10212,0.012568
