Time (min),wt,mko,tko
17.6,0.249,0.025196,0.1337
17.7,0.25207,0.025415,0.13536
17.8,0.25516,0.025638,0.13703
17.9,0.25826,0.025863,0.13871
18,0.26138,0.026091,0.14039
18.1,0.26451,0.026322,0.14208
18.2,0.26764,0.026556,0.14377
18.3,0.2708,0.026793,0.14547
18.4,0.27396,0.027034,0.14717
18.5,0.27713,0.027277,0.14887
18.6,0.28032,0.027523,0.15059
18.7,0.28351,0.027773,0.1523
18.8,0.28672,0.028025,0.15402
18.9,0.28993,0.028281,0.15575
19,0.29315,0.028541,0.15747
19.1,0.29639,0.028803,0.1592
19.2,0.29963,0.029069,0.16094
19.3,0.30288,0.029338,0.16268
19.4,0.30614,0.02961,0.16442
19.5,0.30941,0.029886,0.16616
19.6,0.31268,0.030165,0.1679
19.7,0.31596,0.030448,0.16965
19.8,0.31925,0.030734,0.1714
19.9,0.32255,0.031024,0.17315
20,0.32586,0.031318,0.17491
20.1,0.32918,0.031615,0.17666
20.2,0.3325,0.031916,0.17842
20.3,0.33584,0.03222,0.18017
20.4,0.33918,0.032528,0.18193
20.5,0.34252,0.03284,0.18369
20.6,0.34588,0.033156,0.18545
20.7,0.34923,0.033475,0.18721
20.8,0.3526,0.033798,0.18897
20.9,0.35597,0.034126,0.19073
21,0.35935,0.034457,0.19249
21.1,0.36273,0.034791,0.19425
21.2,0.36612,0.03513,0.19601
21.3,0.36951,0.035473,0.19777
21.4,0.37292,0.03582,0.19953
21.5,0.37633,0.036171,0.20129
21.6,0.37975,0.036526,0.20305
21.7,0.38317,0.036886,0.20481
21.8,0.38661,0.037249,0.20657
21.9,0.39004,0.037616,0.20833
22,0.39349,0.037988,0.21009
22.1,0.39694,0.038364,0.21184
22.2,0.40039,0.038744,0.2136
22.3,0.40386,0.039128,0.21535
22.4,0.40732,0.039517,0.2171
22.5,0.41079,0.03991,0.21885
22.6,0.41427,0.040307,0.2206
22.7,0.41776,0.040709,0.22235
22.8,0.42125,0.041115,0.22409
22.9,0.42475,0.041526,0.22583
23,0.42826,0.041941,0.22757
23.1,0.43178,0.042361,0.22931
23.2,0.4353,0.042785,0.23105
23.3,0.43883,0.043214,0.23278
23.4,0.44236,0.043648,0.23452
23.5,0.4459,0.044086,0.23625
23.6,0.44945,0.044528,0.23798
23.7,0.45301,0.044976,0.23971
23.8,0.45657,0.045428,0.24143
23.9,0.46013,0.045885,0.24316
24,0.46371,0.046346,0.24488
24.1,0.46728,0.046813,0.2466
24.2,0.47087,0.047284,0.24831
24.3,0.47446,0.04776,0.25002
24.4,0.47806,0.048242,0.25173
24.5,0.48166,0.048728,0.25344
24.6,0.48527,0.049219,0.25514
24.7,0.48888,0.049715,0.25684
24.8,0.4925,0.050216,0.25853
24.9,0.49613,0.050722,0.26023
25,0.49977,0.051233,0.26192
25.1,0.50342,0.051749,0.26361
25.2,0.50707,0.05227,0.2653
25.3,0.51073,0.052797,0.26699
25.4,0.5144,0.053328,0.26867
25.5,0.51808,0.053865,0.27035
25.6,0.52176,0.054408,0.27203
25.7,0.52545,0.054955,0.27371
25.8,0.52914,0.055508,0.27538
25.9,0.53284,0.056066,0.27704
26,0.53655,0.056629,0.27871
26.1,0.54027,0.057198,0.28037
26.2,0.54399,0.057773,0.28202
26.3,0.54772,0.058353,0.28368
26.4,0.55146,0.058938,0.28533
26.5,0.55521,0.05953,0.28697
26.6,0.55896,0.060126,0.28861
26.7,0.56272,0.060728,0.29025
26.8,0.56648,0.061336,0.29188
26.9,0.57026,0.06195,0.29351
27,0.57404,0.062569,0.29514
27.1,0.57783,0.063194,0.29676
27.2,0.58164,0.063824,0.29837
27.3,0.58545,0.064461,0.29999
27.4,0.58926,0.065103,0.3016
27.5,0.59309,0.065751,0.30321
27.6,0.59693,0.066405,0.30481
27.7,0.60077,0.067065,0.30642
27.8,0.60462,0.06773,0.30801
27.9,0.60848,0.068402,0.30961
28,0.61235,0.06908,0.3112
28.1,0.61623,0.069763,0.31279
28.2,0.62011,0.070453,0.31437
28.3,0.62401,0.071149,0.31595
28.4,0.62791,0.07185,0.31753
28.5,0.63182,0.072558,0.3191
28.6,0.63574,0.073273,0.32066
28.7,0.63967,0.073993,0.32223
28.8,0.64361,0.07472,0.32379
28.9,0.64756,0.075452,0.32534
29,0.65152,0.076191,0.32689
29.1,0.65545,0.076937,0.32844
29.2,0.65937,0.077689,0.32998
29.3,0.66329,0.078447,0.33152
29.4,0.66722,0.079211,0.33305
29.5,0.67115,0.079982,0.33458
29.6,0.67508,0.08076,0.3361
29.7,0.679,0.081531,0.33762
29.8,0.68294,0.082307,0.33914
29.9,0.68687,0.083088,0.34065
30,0.6908,0.083874,0.34215
30.1,0.69473,0.084665,0.34365
30.2,0.69866,0.08546,0.34514
30.3,0.70259,0.086261,0.34663
30.4,0.70652,0.087066,0.34811
30.5,0.71045,0.087877,0.34959
30.6,0.71437,0.088692,0.35106
30.7,0.7183,0.089511,0.35253
30.8,0.72222,0.090336,0.35399
30.9,0.72615,0.091165,0.35545
31,0.73007,0.091999,0.3569
31.1,0.73398,0.092838,0.35834
31.2,0.73785,0.093681,0.35978
31.3,0.7417,0.094529,0.36121
31.4,0.74553,0.095381,0.36264
31.5,0.74936,0.096238,0.36406
31.6,0.75317,0.0971,0.36548
31.7,0.75697,0.097965,0.36689
31.8,0.76076,0.098836,0.36829
31.9,0.76453,0.099711,0.36968
32,0.76828,0.10059,0.37106
32.1,0.77202,0.10147,0.37243
32.2,0.77574,0.10236,0.3738
32.3,0.77945,0.10324,0.37516
32.4,0.78314,0.10413,0.37651
32.5,0.78681,0.10503,0.37785
32.6,0.79046,0.10592,0.37919
32.7,0.79409,0.10682,0.38052
32.8,0.7977,0.10772,0.38183
32.9,0.80129,0.10863,0.38314
33,0.80486,0.10954,0.38445
33.1,0.80841,0.11045,0.38574
33.2,0.81194,0.11136,0.38702
33.3,0.81546,0.11228,0.3883
33.4,0.81895,0.1132,0.38957
33.5,0.82243,0.11412,0.39082
33.6,0.82588,0.11505,0.39207
33.7,0.82931,0.11598,0.39331
33.8,0.83272,0.11691,0.39453
33.9,0.83611,0.11784,0.39575
34,0.83947,0.11878,0.39695
34.1,0.8428,0.11972,0.39815
34.2,0.84611,0.12066,0.39933
34.3,0.84939,0.12161,0.40051
34.4,0.85265,0.12255,0.40167
34.5,0.85588,0.1235,0.40283
34.6,0.85908,0.12445,0.40397
34.7,0.86225,0.12541,0.4051
34.8,0.86539,0.12636,0.40622
34.9,0.86851,0.12732,0.40732
35,0.8716,0.12828,0.40842
35.1,0.87465,0.12925,0.4095
35.2,0.87768,0.13021,0.41058
35.3,0.88067,0.13118,0.41164
35.4,0.88364,0.13215,0.41269
35.5,0.88661,0.13312,0.41372
35.6,0.88956,0.13409,0.41475
35.7,0.89248,0.13506,0.41577
35.8,0.89537,0.13604,0.41677
35.9,0.89823,0.13702,0.41776
36,0.90106,0.138,0.41874
36.1,0.90387,0.13898,0.41971
36.2,0.90664,0.13996,0.42067
36.3,0.90939,0.14095,0.42161
36.4,0.91211,0.14193,0.42254
36.5,0.9148,0.14292,0.42346
36.6,0.91746,0.14391,0.42436
36.7,0.92008,0.14489,0.42525
36.8,0.92268,0.14588,0.42613
36.9,0.92525,0.14688,0.427
37,0.92779,0.14787,0.42785
37.1,0.93029,0.14886,0.42869
37.2,0.93276,0.14986,0.42951
37.3,0.93521,0.15085,0.43032
37.4,0.93762,0.15185,0.43113
37.5,0.93999,0.15285,0.43192
37.6,0.94235,0.15386,0.4327
37.7,0.94469,0.15486,0.43347
37.8,0.94701,0.15586,0.43422
37.9,0.9493,0.15687,0.43496
38,0.95156,0.15787,0.43569
38.1,0.95379,0.15888,0.4364
38.2,0.95599,0.15989,0.4371
38.3,0.95817,0.1609,0.43779
38.4,0.96031,0.1619,0.43847
38.5,0.96243,0.16291,0.43913
38.6,0.96451,0.16392,0.43978
38.7,0.96657,0.16494,0.44041
38.8,0.9686,0.16595,0.44103
38.9,0.9706,0.16696,0.44164
39,0.97257,0.16797,0.44224
39.1,0.9745,0.16899,0.44282
39.2,0.97641,0.17,0.44339
39.3,0.97829,0.17101,0.44396
39.4,0.98014,0.17203,0.44451
39.5,0.98196,0.17304,0.44505
39.6,0.98375,0.17406,0.44558
39.7,0.98551,0.17508,0.44609
39.8,0.98725,0.17609,0.44659
39.9,0.98896,0.17711,0.44708
40,0.99065,0.17813,0.44755
40.1,0.99231,0.17914,0.44802
40.2,0.99394,0.18016,0.44847
40.3,0.99554,0.18118,0.4489
40.4,0.99712,0.1822,0.44933
40.5,0.99866,0.18322,0.44974
40.6,1.0002,0.18424,0.45014
40.7,1.0017,0.18526,0.45052
40.8,1.0031,0.18628,0.45089
40.9,1.0046,0.18729,0.45125
41,1.006,0.18831,0.4516
41.1,1.0074,0.18933,0.45193
41.2,1.0087,0.19035,0.45225
41.3,1.01,0.19137,0.45256
41.4,1.0113,0.19239,0.45285
41.5,1.0126,0.19341,0.45313
41.6,1.0138,0.19443,0.4534
41.7,1.015,0.19544,0.45366
41.8,1.0162,0.19646,0.4539
41.9,1.0174,0.19748,0.45413
42,1.0185,0.1985,0.45434
42.1,1.0196,0.19951,0.45455
42.2,1.0207,0.20053,0.45475
42.3,1.0217,0.20154,0.45494
42.4,1.0228,0.20256,0.45511
42.5,1.0238,0.20357,0.45527
42.6,1.0247,0.20459,0.45542
42.7,1.0257,0.2056,0.45556
42.8,1.0266,0.20661,0.45569
42.9,1.0275,0.20762,0.4558
43,1.0283,0.20863,0.4559
43.1,1.0292,0.20964,0.45599
43.2,1.03,0.21065,0.45607
43.3,1.0308,0.21166,0.45614
43.4,1.0315,0.21267,0.45619
43.5,1.0322,0.21368,0.45623
43.6,1.0329,0.21468,0.45626
43.7,1.0336,0.21569,0.45628
43.8,1.0343,0.21669,0.45628
43.9,1.0349,0.21769,0.45628
44,1.0355,0.2187,0.45626
44.1,1.0361,0.2197,0.45623
44.2,1.0366,0.2207,0.45619
44.3,1.0371,0.22169,0.45613
44.4,1.0376,0.22269,0.45607
44.5,1.0381,0.22369,0.45599
44.6,1.0386,0.22468,0.4559
44.7,1.039,0.22567,0.4558
44.8,1.0394,0.22666,0.45568
44.9,1.0398,0.22766,0.45556
45,1.0401,0.22864,0.45542
45.1,1.0404,0.22963,0.45528
45.2,1.0407,0.23062,0.45512
45.3,1.041,0.2316,0.45496
45.4,1.0413,0.23258,0.45478
45.5,1.0415,0.23357,0.45459
45.6,1.0417,0.23454,0.4544
45.7,1.0419,0.23552,0.45419
45.8,1.042,0.23649,0.45398
45.9,1.0422,0.23746,0.45375
46,1.0423,0.23843,0.45352
46.1,1.0424,0.23939,0.45327
46.2,1.0424,0.24036,0.45302
46.3,1.0425,0.24132,0.45276
46.4,1.0425,0.24228,0.45249
46.5,1.0425,0.24323,0.45221
46.6,1.0424,0.24418,0.45193
46.7,1.0424,0.24513,0.45163
46.8,1.0423,0.24608,0.45133
46.9,1.0422,0.24702,0.45102
47,1.0421,0.24797,0.4507
47.1,1.0419,0.24891,0.45038
47.2,1.0418,0.24984,0.45005
47.3,1.0416,0.25077,0.44971
47.4,1.0414,0.2517,0.44937
47.5,1.0411,0.25263,0.44901
47.6,1.0409,0.25355,0.44866
47.7,1.0406,0.25447,0.44829
47.8,1.0403,0.25539,0.44792
47.9,1.04,0.25631,0.44755
48,1.0397,0.25722,0.44716
48.1,1.0393,0.25812,0.44678
48.2,1.039,0.25903,0.44638
48.3,1.0386,0.25992,0.44599
48.4,1.0381,0.26082,0.44558
48.5,1.0377,0.2617,0.44517
48.6,1.0373,0.26259,0.44476
48.7,1.0368,0.26347,0.44434
48.8,1.0363,0.26434,0.44392
48.9,1.0358,0.26521,0.44349
49,1.0352,0.26608,0.44306
49.1,1.0347,0.26694,0.44263
49.2,1.0341,0.2678,0.44219
49.3,1.0335,0.26865,0.44174
49.4,1.0329,0.2695,0.44129
49.5,1.0323,0.27035,0.44084
49.6,1.0316,0.27118,0.44039
49.7,1.0309,0.27202,0.43993
49.8,1.0302,0.27285,0.43947
49.9,1.0295,0.27367,0.439
50,1.0288,0.27449,0.43853
50.1,1.0281,0.2753,0.43806
50.2,1.0273,0.27611,0.43759
50.3,1.0266,0.27691,0.43711
50.4,1.0258,0.27771,0.43662
50.5,1.025,0.2785,0.43614
50.6,1.0241,0.27929,0.43565
50.7,1.0233,0.28007,0.43515
50.8,1.0224,0.28084,0.43466
50.9,1.0216,0.28161,0.43416
51,1.0207,0.28237,0.43367
51.1,1.0198,0.28313,0.43316
51.2,1.0189,0.28388,0.43266
51.3,1.0179,0.28463,0.43216
51.4,1.017,0.28537,0.43165
51.5,1.016,0.2861,0.43114
51.6,1.015,0.28683,0.43063
51.7,1.014,0.28755,0.43012
51.8,1.013,0.28826,0.42961
51.9,1.012,0.28897,0.42909
52,1.0109,0.28967,0.42858
52.1,1.0099,0.29036,0.42806
52.2,1.0088,0.29105,0.42755
52.3,1.0077,0.29173,0.42703
52.4,1.0066,0.2924,0.42651
52.5,1.0055,0.29307,0.426
52.6,1.0044,0.29373,0.42548
52.7,1.0032,0.29438,0.42496
52.8,1.0021,0.29503,0.42443
52.9,1.0009,0.29567,0.42391
53,0.99972,0.2963,0.42338
53.1,0.99852,0.29692,0.42285
53.2,0.99731,0.29754,0.42232
53.3,0.99609,0.29815,0.42179
53.4,0.99485,0.29876,0.42126
53.5,0.99361,0.29936,0.42073
53.6,0.99235,0.29995,0.4202
53.7,0.99107,0.30054,0.41967
53.8,0.98979,0.30112,0.41914
53.9,0.98849,0.30169,0.4186
54,0.98718,0.30225,0.41807
