Time (min),LPS,CpG,PIC
195,0.17154,0.28136,0.060337
196,0.17075,0.28132,0.060196
197,0.16996,0.28128,0.060054
198,0.16918,0.28125,0.059912
199,0.16839,0.28121,0.059735
200,0.16762,0.28117,0.059542
201,0.16684,0.28113,0.05935
202,0.16606,0.28109,0.059157
203,0.16529,0.28106,0.058964
204,0.16451,0.28102,0.058771
205,0.16373,0.28098,0.058578
206,0.16296,0.28095,0.058382
207,0.16219,0.28091,0.058182
208,0.16143,0.28088,0.057982
209,0.16067,0.28084,0.057782
210,0.1599,0.28081,0.057582
211,0.15914,0.28077,0.057382
212,0.15837,0.28074,0.057182
213,0.15761,0.2807,0.056989
214,0.15686,0.28068,0.056814
215,0.15611,0.28065,0.056638
216,0.15536,0.28062,0.056463
217,0.15461,0.2806,0.056288
218,0.15386,0.28057,0.056113
219,0.15311,0.28054,0.055938
220,0.15236,0.28051,0.055767
221,0.15162,0.28049,0.055637
222,0.15089,0.28046,0.055508
223,0.15016,0.28045,0.055379
224,0.14942,0.28043,0.055249
225,0.14869,0.28042,0.05512
226,0.14796,0.28041,0.054991
227,0.14723,0.28039,0.054861
228,0.1465,0.28038,0.054732
229,0.14577,0.28037,0.054643
230,0.14504,0.28036,0.054569
231,0.14433,0.28034,0.054495
232,0.14363,0.28033,0.05442
233,0.14292,0.28032,0.054346
234,0.14222,0.2803,0.054272
235,0.14151,0.28029,0.054197
236,0.14081,0.28028,0.054123
237,0.1401,0.28026,0.054067
238,0.1394,0.28025,0.05404
239,0.13869,0.28025,0.054012
240,0.13799,0.28026,0.053984
241,0.13732,0.28026,0.053956
242,0.13664,0.28027,0.053929
243,0.13596,0.28027,0.053901
244,0.13529,0.28027,0.053873
245,0.13461,0.28028,0.053847
246,0.13394,0.28028,0.053849
247,0.13326,0.28029,0.053851
248,0.13259,0.28029,0.053853
249,0.13191,0.28029,0.053855
250,0.13125,0.2803,0.053857
251,0.13061,0.2803,0.053859
252,0.12996,0.2803,0.053862
253,0.12932,0.28031,0.053864
254,0.12868,0.28031,0.053874
255,0.12803,0.28033,0.053887
256,0.12739,0.28034,0.0539
257,0.12675,0.28035,0.053913
258,0.1261,0.28036,0.053926
259,0.12546,0.28038,0.053939
260,0.12485,0.28039,0.053952
261,0.12424,0.2804,0.053965
262,0.12363,0.28041,0.053976
263,0.12302,0.28043,0.053983
264,0.12241,0.28044,0.053989
265,0.1218,0.28045,0.053996
266,0.12119,0.28046,0.054002
267,0.12058,0.28048,0.054009
268,0.11997,0.28049,0.054016
269,0.11937,0.2805,0.054022
270,0.11881,0.28052,0.054029
271,0.11824,0.28053,0.054036
272,0.11768,0.28054,0.054042
273,0.11711,0.28055,0.054049
274,0.11655,0.28056,0.054045
275,0.11599,0.28058,0.054028
276,0.11542,0.28059,0.054011
277,0.11486,0.2806,0.053995
278,0.11429,0.28061,0.053978
279,0.11373,0.28063,0.053961
280,0.11317,0.28064,0.053944
281,0.1126,0.28065,0.053928
282,0.11204,0.28066,0.053911
283,0.11147,0.28067,0.053894
284,0.11096,0.28069,0.053878
285,0.11045,0.2807,0.053861
286,0.10994,0.28071,0.05383
287,0.10943,0.28071,0.053787
288,0.10892,0.28072,0.053744
289,0.10841,0.28073,0.053702
290,0.10791,0.28073,0.053659
291,0.1074,0.28074,0.053617
292,0.10689,0.28074,0.053574
293,0.10638,0.28075,0.053531
294,0.10587,0.28076,0.053489
295,0.10536,0.28076,0.053446
296,0.10485,0.28077,0.053404
297,0.10435,0.28077,0.053361
298,0.10387,0.28078,0.053308
299,0.10342,0.28079,0.053249
300,0.10297,0.28079,0.05319
301,0.10252,0.2808,0.053131
302,0.10207,0.2808,0.053072
303,0.10162,0.2808,0.053012
304,0.10117,0.2808,0.052953
305,0.10072,0.28079,0.052894
306,0.10026,0.28079,0.052835
307,0.099813,0.28079,0.052776
308,0.099362,0.28079,0.052717
309,0.098911,0.28078,0.052658
310,0.09846,0.28078,0.052597
311,0.09801,0.28078,0.052535
312,0.097577,0.28078,0.052473
