Time (min),wt,mko,tko
17.8,0.47517,0.12891,0.53803
17.9,0.47751,0.13023,0.54158
18,0.47981,0.13158,0.54509
18.1,0.48205,0.13294,0.54856
18.2,0.48424,0.13431,0.55199
18.3,0.48638,0.1357,0.55539
18.4,0.48847,0.1371,0.55874
18.5,0.49057,0.13852,0.56206
18.6,0.49266,0.13995,0.56534
18.7,0.49471,0.1414,0.56857
18.8,0.49673,0.14287,0.57176
18.9,0.49872,0.14435,0.57491
19,0.50067,0.14584,0.57802
19.1,0.50258,0.14735,0.58109
19.2,0.50447,0.14887,0.5841
19.3,0.50632,0.15041,0.58708
19.4,0.50814,0.15196,0.59
19.5,0.50993,0.15353,0.59298
19.6,0.51168,0.15511,0.59592
19.7,0.51341,0.1567,0.59884
19.8,0.5151,0.15831,0.60173
19.9,0.51677,0.15993,0.60458
20,0.51844,0.16156,0.6074
20.1,0.52008,0.16321,0.6102
20.2,0.5217,0.16487,0.61296
20.3,0.5233,0.16655,0.61569
20.4,0.52487,0.16824,0.61839
20.5,0.52643,0.16994,0.62106
20.6,0.52797,0.17166,0.6237
20.7,0.52949,0.17339,0.62631
20.8,0.53099,0.17513,0.62889
20.9,0.53248,0.17689,0.63145
21,0.53394,0.17866,0.63397
21.1,0.5354,0.18044,0.63646
21.2,0.53684,0.18224,0.63893
21.3,0.53826,0.18405,0.64139
21.4,0.53967,0.18587,0.64383
21.5,0.54105,0.1877,0.64625
21.6,0.54242,0.18955,0.64865
21.7,0.54377,0.19141,0.65103
21.8,0.54511,0.19328,0.65339
21.9,0.54644,0.19516,0.65572
22,0.54776,0.19706,0.65804
22.1,0.54906,0.19897,0.66033
22.2,0.55036,0.20089,0.6626
22.3,0.55164,0.20283,0.66486
22.4,0.55291,0.20477,0.66709
22.5,0.55418,0.20673,0.66931
22.6,0.55543,0.2087,0.67151
22.7,0.55668,0.21069,0.67369
22.8,0.55792,0.21268,0.67586
22.9,0.55912,0.21469,0.678
23,0.56031,0.2167,0.68014
23.1,0.56149,0.21873,0.68225
23.2,0.56266,0.22078,0.68433
23.3,0.56382,0.22283,0.68641
23.4,0.56497,0.22489,0.68846
23.5,0.56611,0.22697,0.6905
23.6,0.56724,0.22906,0.69253
23.7,0.56837,0.23116,0.69454
23.8,0.56948,0.23327,0.69653
23.9,0.57059,0.23539,0.69851
24,0.57169,0.23752,0.70048
24.1,0.57279,0.23967,0.70243
24.2,0.57388,0.24182,0.70437
24.3,0.57496,0.24399,0.7063
24.4,0.57604,0.24617,0.70821
24.5,0.57711,0.24836,0.71011
24.6,0.57818,0.25056,0.712
24.7,0.57924,0.25277,0.71388
24.8,0.5803,0.25499,0.71574
24.9,0.58135,0.25722,0.71759
25,0.58237,0.25946,0.71941
25.1,0.58339,0.26172,0.72121
