Time (min),wt,mko,tko
17.9,8.7361,1.1621,6.9349
18,8.8528,1.169,7.0237
18.1,8.9705,1.1759,7.1131
18.2,9.0892,1.1828,7.2033
18.3,9.2088,1.1896,7.2941
18.4,9.3294,1.1965,7.3857
18.5,9.4509,1.2034,7.478
18.6,9.5735,1.2103,7.5711
18.7,9.697,1.2173,7.6648
18.8,9.8215,1.2242,7.7593
18.9,9.947,1.2311,7.8545
19,10.073,1.238,7.9504
19.1,10.201,1.245,8.0471
19.2,10.329,1.2519,8.1444
19.3,10.459,1.2589,8.2426
19.4,10.589,1.2658,8.3414
19.5,10.721,1.2728,8.441
19.6,10.853,1.2798,8.5413
19.7,10.987,1.2867,8.6424
19.8,11.121,1.2937,8.7442
19.9,11.257,1.3007,8.8467
20,11.393,1.3077,8.95
20.1,11.53,1.3147,9.054
20.2,11.669,1.3217,9.1588
20.3,11.808,1.3287,9.2643
20.4,11.949,1.3357,9.3705
20.5,12.09,1.3427,9.4775
20.6,12.233,1.3498,9.5853
20.7,12.377,1.3568,9.6938
20.8,12.521,1.3639,9.8031
20.9,12.667,1.3709,9.9131
21,12.813,1.378,10.024
21.1,12.961,1.385,10.135
21.2,13.11,1.3921,10.248
21.3,13.26,1.3992,10.361
21.4,13.41,1.4062,10.475
21.5,13.562,1.4133,10.589
21.6,13.715,1.4204,10.704
21.7,13.869,1.4275,10.821
21.8,14.024,1.4346,10.937
21.9,14.18,1.4417,11.055
22,14.337,1.4489,11.173
22.1,14.495,1.456,11.293
22.2,14.654,1.4631,11.413
22.3,14.814,1.4703,11.533
22.4,14.975,1.4774,11.655
22.5,15.137,1.4846,11.777
22.6,15.301,1.4917,11.9
22.7,15.465,1.4989,12.024
22.8,15.63,1.506,12.148
22.9,15.797,1.5132,12.274
23,15.964,1.5204,12.4
23.1,16.133,1.5276,12.527
23.2,16.303,1.5348,12.655
23.3,16.473,1.542,12.783
23.4,16.645,1.5492,12.912
23.5,16.818,1.5564,13.043
23.6,16.992,1.5637,13.173
23.7,17.167,1.5709,13.305
23.8,17.343,1.5781,13.437
23.9,17.52,1.5854,13.571
24,17.698,1.5926,13.705
24.1,17.878,1.5999,13.84
24.2,18.058,1.6071,13.975
24.3,18.239,1.6144,14.112
24.4,18.422,1.6217,14.249
24.5,18.605,1.629,14.387
24.6,18.79,1.6362,14.525
24.7,18.976,1.6435,14.665
24.8,19.163,1.6508,14.805
24.9,19.351,1.6582,14.947
25,19.54,1.6655,15.089
25.1,19.73,1.6728,15.231
25.2,19.921,1.6801,15.375
25.3,20.113,1.6875,15.519
25.4,20.307,1.6948,15.665
25.5,20.501,1.7021,15.811
25.6,20.697,1.7095,15.957
25.7,20.893,1.7169,16.105
25.8,21.091,1.7242,16.254
25.9,21.29,1.7316,16.403
26,21.49,1.739,16.553
26.1,21.691,1.7464,16.704
26.2,21.893,1.7538,16.856
26.3,22.096,1.7612,17.008
26.4,22.301,1.7686,17.161
26.5,22.506,1.776,17.316
26.6,22.713,1.7834,17.471
26.7,22.92,1.7909,17.627
26.8,23.129,1.7983,17.783
26.9,23.339,1.8057,17.941
27,23.55,1.8132,18.099
27.1,23.762,1.8206,18.258
27.2,23.975,1.8281,18.418
27.3,24.19,1.8356,18.579
27.4,24.405,1.8431,18.741
27.5,24.622,1.8505,18.903
27.6,24.84,1.858,19.066
27.7,25.058,1.8655,19.23
27.8,25.278,1.873,19.395
27.9,25.499,1.8805,19.561
28,25.722,1.8881,19.728
28.1,25.945,1.8956,19.895
28.2,26.169,1.9031,20.064
28.3,26.395,1.9107,20.233
28.4,26.622,1.9182,20.403
28.5,26.849,1.9258,20.574
28.6,27.078,1.9333,20.746
28.7,27.308,1.9409,20.918
28.8,27.54,1.9485,21.092
28.9,27.772,1.956,21.266
29,28.006,1.9636,21.441
29.1,28.24,1.9712,21.617
29.2,28.476,1.9788,21.794
29.3,28.713,1.9864,21.972
29.4,28.951,1.994,22.15
29.5,29.19,2.0017,22.33
29.6,29.43,2.0093,22.51
29.7,29.672,2.0169,22.691
29.8,29.915,2.0246,22.873
29.9,30.159,2.0322,23.056
30,30.404,2.0399,23.24
30.1,30.65,2.0476,23.424
30.2,30.897,2.0553,23.61
30.3,31.146,2.063,23.796
30.4,31.395,2.0708,23.983
30.5,31.646,2.0786,24.171
30.6,31.898,2.0865,24.36
30.7,32.151,2.0944,24.55
30.8,32.406,2.1024,24.741
30.9,32.661,2.1105,24.932
31,32.918,2.1187,25.125
31.1,33.176,2.1271,25.318
31.2,33.436,2.1355,25.512
31.3,33.696,2.1441,25.708
31.4,33.958,2.1527,25.904
31.5,34.221,2.1616,26.101
31.6,34.485,2.1706,26.298
31.7,34.75,2.1797,26.497
31.8,35.017,2.189,26.697
31.9,35.285,2.1985,26.898
32,35.554,2.2082,27.099
32.1,35.825,2.218,27.302
32.2,36.096,2.2281,27.505
32.3,36.369,2.2384,27.709
32.4,36.644,2.2489,27.915
32.5,36.92,2.2596,28.121
32.6,37.197,2.2706,28.328
32.7,37.475,2.2818,28.536
32.8,37.754,2.2932,28.746
32.9,38.035,2.305,28.956
33,38.318,2.3169,29.167
33.1,38.601,2.3292,29.379
33.2,38.886,2.3417,29.592
33.3,39.172,2.3546,29.806
33.4,39.46,2.3677,30.021
33.5,39.749,2.3811,30.237
33.6,40.039,2.3948,30.454
33.7,40.331,2.4089,30.672
33.8,40.624,2.4233,30.891
33.9,40.919,2.438,31.111
34,41.215,2.4531,31.332
34.1,41.512,2.4685,31.554
34.2,41.811,2.4842,31.777
34.3,42.111,2.5004,32.001
34.4,42.413,2.5169,32.226
34.5,42.716,2.5337,32.453
34.6,43.02,2.551,32.68
34.7,43.326,2.5687,32.908
34.8,43.633,2.5867,33.137
34.9,43.942,2.6051,33.368
35,44.253,2.624,33.599
35.1,44.564,2.6433,33.832
35.2,44.878,2.663,34.065
35.3,45.192,2.6831,34.3
35.4,45.508,2.7037,34.536
35.5,45.826,2.7247,34.773
35.6,46.145,2.7461,35.01
35.7,46.466,2.768,35.249
35.8,46.788,2.7904,35.49
35.9,47.112,2.8132,35.731
36,47.437,2.8365,35.973
36.1,47.764,2.8603,36.216
36.2,48.092,2.8846,36.461
36.3,48.421,2.9094,36.706
36.4,48.753,2.9346,36.953
36.5,49.086,2.9604,37.201
36.6,49.42,2.9867,37.45
36.7,49.756,3.0135,37.7
36.8,50.093,3.0408,37.951
36.9,50.432,3.0686,38.204
37,50.773,3.097,38.457
37.1,51.115,3.1259,38.712
37.2,51.458,3.1553,38.967
37.3,51.804,3.1853,39.224
37.4,52.151,3.2159,39.482
37.5,52.499,3.247,39.742
37.6,52.849,3.2786,40.002
37.7,53.201,3.3109,40.263
37.8,53.554,3.3437,40.526
37.9,53.908,3.3771,40.79
38,54.265,3.4111,41.055
38.1,54.623,3.4456,41.321
38.2,54.982,3.4808,41.589
38.3,55.343,3.5166,41.857
38.4,55.706,3.5529,42.127
38.5,56.071,3.5899,42.398
38.6,56.437,3.6275,42.67
38.7,56.804,3.6657,42.943
38.8,57.173,3.7045,43.217
38.9,57.544,3.744,43.493
39,57.917,3.7841,43.77
39.1,58.291,3.8248,44.048
39.2,58.667,3.8662,44.327
39.3,59.044,3.9082,44.607
39.4,59.423,3.9509,44.889
39.5,59.804,3.9942,45.172
39.6,60.186,4.0382,45.456
39.7,60.57,4.0829,45.741
39.8,60.956,4.1282,46.028
39.9,61.343,4.1742,46.315
40,61.732,4.2209,46.604
40.1,62.123,4.2683,46.894
40.2,62.515,4.3163,47.185
40.3,62.91,4.3651,47.478
40.4,63.305,4.4145,47.772
40.5,63.703,4.4647,48.067
40.6,64.102,4.5155,48.363
40.7,64.503,4.5671,48.66
40.8,64.905,4.6194,48.959
40.9,65.309,4.6723,49.259
41,65.715,4.726,49.56
41.1,66.123,4.7805,49.862
41.2,66.532,4.8356,50.166
41.3,66.943,4.8915,50.471
41.4,67.356,4.9482,50.777
41.5,67.77,5.0055,51.084
41.6,68.186,5.0636,51.393
41.7,68.604,5.1225,51.703
41.8,69.024,5.1821,52.014
41.9,69.445,5.2425,52.326
42,69.868,5.3036,52.64
42.1,70.293,5.3655,52.955
42.2,70.719,5.4281,53.271
42.3,71.148,5.4916,53.588
42.4,71.578,5.5558,53.907
42.5,72.009,5.6207,54.227
42.6,72.443,5.6865,54.548
42.7,72.878,5.753,54.87
42.8,73.315,5.8203,55.194
42.9,73.754,5.8885,55.519
43,74.194,5.9574,55.845
43.1,74.637,6.0271,56.173
43.2,75.081,6.0976,56.502
43.3,75.526,6.1689,56.832
43.4,75.974,6.241,57.163
43.5,76.423,6.3139,57.496
43.6,76.874,6.3877,57.83
43.7,77.327,6.4622,58.165
43.8,77.782,6.5376,58.502
43.9,78.238,6.6138,58.84
44,78.697,6.6908,59.179
44.1,79.156,6.7687,59.519
44.2,79.618,6.8474,59.861
44.3,80.082,6.9269,60.204
44.4,80.547,7.0072,60.548
44.5,81.014,7.0884,60.894
44.6,81.483,7.1705,61.241
44.7,81.954,7.2534,61.589
44.8,82.426,7.3371,61.939
44.9,82.901,7.4217,62.29
45,83.377,7.5072,62.642
45.1,83.855,7.5935,62.995
45.2,84.335,7.6807,63.35
45.3,84.816,7.7687,63.706
45.4,85.3,7.8576,64.064
45.5,85.785,7.9474,64.422
45.6,86.272,8.038,64.782
45.7,86.761,8.1296,65.144
45.8,87.251,8.222,65.507
45.9,87.744,8.3153,65.871
46,88.238,8.4094,66.236
46.1,88.734,8.5045,66.603
46.2,89.232,8.6004,66.971
46.3,89.732,8.6973,67.34
46.4,90.234,8.795,67.711
46.5,90.737,8.8936,68.083
46.6,91.242,8.9931,68.456
