"","x","wt","mko","tko"
"1",0,6.39959042621272e-05,6.39959042621272e-05,7.999936000512e-06
"2",0.6,0.00120310094857914,0.000153966946528902,0.000411661249224989
"3",1.2,0.0051332936841077,0.000303372385266567,0.00213216403473661
"4",1.8,0.0135014366517793,0.000527235987576199,0.00611102808623804
"5",2.4,0.0277484478263133,0.000840525306892271,0.0132358751117332
"6",3,0.0489585198008662,0.00125812712216668,0.0242922809436258
"7",3.6,0.0777103675632858,0.00179481853026655,0.0399068122897278
"8",4.2,0.113973701095437,0.00246523381107385,0.060490125767216
"9",4.8,0.15708916545129,0.00328382722288224,0.0861910492804299
"10",5.4,0.205848717951832,0.00426483192823658,0.116872341372868
"11",6,0.258662710084313,0.00542221529677819,0.152115659997783
"12",6.6,0.31377352252741,0.00676963088123828,0.191257583441254
"13",7.2,0.369465488063093,0.00832036741461666,0.233451878163113
"14",7.8,0.424229686363972,0.0100872952298129,0.277747733665391
"15",8.4,0.476862788242504,0.0120828105564302,0.323171115143493
"16",9,0.526500501727644,0.0143187782019168,0.368797271782241
"17",9.6,0.572600443951706,0.0168064731743215,0.41380602202124
"18",10.2,0.614894348143236,0.0195565218503053,0.457516171952936
"19",10.8,0.653327657675721,0.0225788433332375,0.499399760160269
"20",11.4,0.687999394808043,0.0258825916807497,0.539079782234908
"21",12,0.719109647513079,0.0294760997076192,0.576316375530713
"22",12.6,0.746917635193402,0.0333668250869786,0.610986424704029
"23",13.2,0.771710496208258,0.0375612994794041,0.643060700958211
"24",13.8,0.793781469678236,0.0420650814144185,0.672581474486002
"25",14.4,0.813415602560678,0.0468827136315731,0.699642395547139
"26",15,0.830881109419922,0.0520176855580582,0.724371511921483
"27",15.6,0.833825656068009,0.0657197968589047,0.727477517823454
"28",16.2,0.83670887185833,0.0812860220283455,0.730545632920379
"29",16.8,0.839532107874189,0.0986847882909981,0.733576223442727
"30",17.4,0.842296689876658,0.117846501997824,0.736569657941182
"31",18,0.845003918300945,0.138665532994319,0.73952630695947
"32",18.6,0.847655068298451,0.161003682618322,0.742446542720998
"33",19.2,0.850251389820445,0.184694945281229,0.745330738828987
"34",19.8,0.852794107739583,0.20955127212907,0.748179269979728
"35",20.4,0.855284422005704,0.235368975164003,0.750992511688594
"36",21,0.857723507832605,0.261935378793422,0.753770840028468
