Time_mins,wt_fold,wt_std,mko_fold,mko_std,tko_fold,tko_std
0,1,0,0.79968796,0.31465679,1.021117789,0.163838844
15,3.322753107,1.197033872,0.67496912,0.371464011,4.983205466,5.593344236
20,5.100427494,1.663462041,1.167633177,0.146722285,6.63620107,2.628963178
25,9.087159782,0.210523617,4.915088432,0.993755243,13.8116553,4.500266253
30,18.52537371,2.969356219,18.05399119,1.931106368,12.62367773,3.553226219
60,15.88534926,1.808342723,27.16588013,0.099037568,12.00919871,4.018814518
120,9.501721373,2.705686127,19.04456074,2.512928738,6.361452664,0.004015244
